Pos 3 - X HUONG LEN
ax,ay,az
0.9835,0.0217,-0.0189
0.9804,0.0179,-0.0109
0.9806,0.0252,-0.0075
0.9788,0.0175,-0.0121
0.9836,0.0200,-0.0133
0.9808,0.0251,-0.0142
0.9913,0.0241,-0.0113
0.9803,0.0157,-0.0072
0.9710,0.0297,-0.0166
0.9772,0.0246,-0.0043
0.9831,0.0243,-0.0147
0.9843,0.0237,-0.0095
0.9751,0.0268,-0.0109
0.9772,0.0214,-0.0125
0.9803,0.0260,-0.0170
0.9789,0.0324,-0.0149
0.9805,0.0244,-0.0130
0.9862,0.0230,-0.0090
0.9790,0.0277,-0.0127
0.9814,0.0247,-0.0101
0.9778,0.0216,-0.0049
0.9838,0.0237,-0.0098
0.9818,0.0171,-0.0114
0.9816,0.0262,-0.0147
0.9812,0.0290,-0.0125
0.9805,0.0263,-0.0134
0.9857,0.0244,-0.0107
0.9795,0.0206,-0.0095
0.9829,0.0272,-0.0094
0.9769,0.0254,-0.0190
0.9838,0.0212,-0.0104
0.9845,0.0231,-0.0121
0.9863,0.0192,-0.0097
0.9824,0.0283,-0.0178
0.9820,0.0289,-0.0072
0.9793,0.0240,-0.0056
0.9770,0.0248,-0.0114
0.9826,0.0217,-0.0086
0.9851,0.0314,-0.0148
0.9803,0.0288,-0.0056
0.9820,0.0197,-0.0128
0.9854,0.0274,-0.0081
0.9887,0.0235,-0.0152
0.9778,0.0246,-0.0084
0.9880,0.0258,-0.0119
0.9815,0.0293,-0.0147
0.9816,0.0247,-0.0121
0.9883,0.0219,-0.0034
0.9797,0.0221,-0.0143
0.9843,0.0250,-0.0081
0.9791,0.0191,-0.0133
0.9830,0.0199,-0.0124
0.9839,0.0222,-0.0149
0.9782,0.0245,-0.0104
0.9916,0.0291,-0.0164
0.9766,0.0246,-0.0065
0.9843,0.0232,-0.0085
0.9868,0.0301,-0.0157
0.9835,0.0205,-0.0148
0.9775,0.0241,-0.0170
0.9847,0.0250,-0.0150
0.9837,0.0304,-0.0108
0.9800,0.0240,-0.0124
0.9795,0.0190,-0.0133
0.9863,0.0221,-0.0188
0.9817,0.0289,-0.0180
0.9827,0.0264,-0.0101
0.9839,0.0271,-0.0175
0.9842,0.0298,-0.0128
0.9833,0.0214,-0.0074
0.9798,0.0308,-0.0133
0.9844,0.0231,-0.0054
0.9751,0.0263,-0.0193
0.9778,0.0316,-0.0088
0.9750,0.0250,-0.0142
0.9840,0.0315,-0.0097
  Mean -> Ax=0.9820  Ay=0.0252  Az=-0.0116
