Pos 5 - Y HUONG LEN
ax,ay,az
-0.0130,1.0233,-0.0085
-0.0202,1.0268,-0.0066
-0.0163,1.0233,-0.0112
-0.0155,1.0235,-0.0134
-0.0118,1.0299,-0.0143
-0.0226,1.0205,-0.0159
-0.0190,1.0247,-0.0168
-0.0175,1.0148,-0.0115
-0.0124,1.0207,-0.0221
-0.0174,1.0275,-0.0134
-0.0172,1.0295,-0.0061
-0.0159,1.0207,-0.0114
-0.0215,1.0249,-0.0128
-0.0200,1.0304,-0.0128
-0.0232,1.0263,-0.0096
-0.0178,1.0223,-0.0135
-0.0201,1.0232,-0.0145
-0.0188,1.0203,-0.0111
-0.0207,1.0281,-0.0107
-0.0127,1.0202,-0.0071
-0.0184,1.0272,-0.0089
-0.0146,1.0252,-0.0104
-0.0183,1.0275,-0.0151
-0.0166,1.0304,-0.0050
-0.0143,1.0301,-0.0102
-0.0143,1.0318,-0.0122
-0.0236,1.0244,-0.0113
-0.0209,1.0208,-0.0137
-0.0223,1.0282,-0.0060
-0.0156,1.0201,-0.0113
-0.0210,1.0260,-0.0149
-0.0146,1.0275,-0.0131
-0.0162,1.0252,-0.0060
-0.0247,1.0264,-0.0076
-0.0193,1.0233,-0.0114
-0.0212,1.0231,-0.0156
-0.0186,1.0177,-0.0141
-0.0160,1.0237,-0.0134
-0.0149,1.0305,-0.0146
-0.0138,1.0189,-0.0150
-0.0161,1.0259,-0.0116
-0.0150,1.0243,-0.0093
-0.0197,1.0228,-0.0186
-0.0156,1.0220,-0.0085
-0.0145,1.0242,-0.0117
-0.0173,1.0243,-0.0171
-0.0129,1.0230,-0.0101
-0.0170,1.0260,-0.0112
-0.0148,1.0220,-0.0085
-0.0174,1.0251,-0.0135
-0.0182,1.0270,-0.0161
-0.0240,1.0240,-0.0095
-0.0190,1.0298,-0.0075
-0.0131,1.0301,-0.0111
-0.0160,1.0226,-0.0214
-0.0166,1.0223,-0.0127
-0.0267,1.0281,-0.0127
-0.0201,1.0210,-0.0148
-0.0210,1.0216,-0.0169
-0.0187,1.0238,-0.0090
-0.0241,1.0234,-0.0151
-0.0168,1.0248,-0.0090
-0.0116,1.0250,-0.0101
-0.0206,1.0246,-0.0119
-0.0105,1.0210,-0.0125
-0.0179,1.0224,-0.0108
-0.0180,1.0254,-0.0145
-0.0154,1.0217,-0.0133
-0.0150,1.0299,-0.0146
-0.0158,1.0247,-0.0083
-0.0176,1.0309,-0.0066
-0.0214,1.0239,-0.0146
-0.0183,1.0186,-0.0179
-0.0144,1.0262,-0.0094
-0.0212,1.0213,-0.0127
-0.0132,1.0253,-0.0114
-0.0139,1.0263,-0.0114
-0.0165,1.0243,-0.0065
-0.0184,1.0225,-0.0096
-0.0147,1.0233,-0.0095
-0.0142,1.0133,-0.0180
-0.0166,1.0217,-0.0061
-0.0169,1.0246,-0.0118
-0.0193,1.0228,-0.0116
-0.0145,1.0196,-0.0112
-0.0196,1.0253,-0.0146
-0.0175,1.0212,-0.0121
-0.0189,1.0192,-0.0105
-0.0278,1.0237,-0.0172
-0.0171,1.0238,-0.0091
-0.0187,1.0243,-0.0081
-0.0196,1.0249,-0.0070
-0.0157,1.0319,-0.0104
-0.0199,1.0288,-0.0088
-0.0190,1.0269,-0.0123
-0.0163,1.0251,-0.0125
-0.0121,1.0266,-0.0167
-0.0173,1.0240,-0.0109
-0.0172,1.0263,-0.0179
-0.0235,1.0299,-0.0121
-0.0133,1.0268,-0.0139
-0.0239,1.0268,-0.0102
-0.0119,1.0243,-0.0117
-0.0243,1.0229,-0.0111
-0.0192,1.0219,-0.0070
-0.0124,1.0213,-0.0117
-0.0195,1.0302,-0.0112
-0.0159,1.0217,-0.0074
-0.0190,1.0315,-0.0082
-0.0203,1.0268,-0.0111
-0.0188,1.0276,-0.0121
-0.0179,1.0228,-0.0146
  Mean -> Ax=-0.0175  Ay=1.0248  Az=-0.0120
