=== BAI 5 - SHOCK DETECTION ===
NGUONG: abs(|a| - 1g) > 2.0 g
Tan so lay mau: 500Hz (buoc 2ms)
Time_ms,Ax,Ay,Az,Magnitude,SHOCK
732,0.007,0.005,1.004,1.004,0
734,0.007,-0.010,0.999,0.999,0
736,0.006,-0.007,1.003,1.003,0
738,0.013,-0.002,0.999,0.999,0
740,0.006,-0.011,1.009,1.009,0
742,0.009,-0.002,1.001,1.001,0
744,0.002,-0.010,1.007,1.007,0
746,0.005,0.003,1.005,1.005,0
748,0.004,-0.003,1.009,1.009,0
750,0.010,-0.003,1.014,1.014,0
752,0.015,0.000,1.009,1.009,0
754,0.004,-0.001,1.003,1.003,0
756,0.007,-0.005,0.999,0.999,0
758,0.012,-0.006,1.008,1.008,0
760,0.010,-0.001,0.990,0.990,0
762,0.012,-0.003,1.005,1.005,0
764,0.005,-0.009,1.001,1.001,0
766,0.009,-0.004,1.007,1.007,0
768,0.007,-0.005,1.005,1.005,0
770,0.014,0.000,1.002,1.003,0
772,0.008,-0.007,1.002,1.002,0
774,0.009,-0.005,1.007,1.007,0
776,0.006,-0.009,1.003,1.003,0
778,0.005,-0.002,1.007,1.007,0
780,0.009,-0.012,0.998,0.998,0
782,0.007,-0.006,1.004,1.004,0
784,0.010,-0.007,1.009,1.009,0
786,0.006,-0.013,0.999,0.999,0
788,0.004,-0.004,1.001,1.001,0
790,0.002,-0.007,0.996,0.996,0
792,0.008,-0.004,1.000,1.000,0
794,0.008,-0.010,1.006,1.006,0
796,0.008,-0.008,1.004,1.004,0
798,0.009,-0.002,0.997,0.997,0
800,0.010,-0.004,0.998,0.998,0
802,0.000,-0.005,0.990,0.990,0
804,0.005,-0.009,1.001,1.001,0
806,0.008,-0.007,1.009,1.009,0
808,0.010,-0.011,1.006,1.006,0
810,0.007,-0.001,0.999,0.999,0
812,0.007,-0.009,1.003,1.003,0
814,0.005,-0.006,1.005,1.005,0
816,0.009,-0.005,0.999,0.999,0
818,0.012,-0.005,0.997,0.997,0
820,0.009,-0.000,1.001,1.001,0
822,0.005,-0.006,1.004,1.004,0
824,0.004,-0.004,1.000,1.000,0
826,0.009,-0.008,1.007,1.007,0
828,0.010,-0.007,1.003,1.003,0
830,0.008,-0.001,1.007,1.007,0
832,0.012,-0.010,1.012,1.012,0
834,0.006,0.001,0.998,0.998,0
836,0.007,-0.006,1.004,1.004,0
838,0.014,-0.009,0.997,0.997,0
840,0.008,-0.005,0.998,0.998,0
842,0.011,-0.009,1.007,1.007,0
844,0.010,-0.002,1.007,1.007,0
846,0.003,-0.005,1.000,1.000,0
848,0.003,-0.008,1.001,1.001,0
850,0.000,-0.006,0.995,0.995,0
852,0.001,-0.006,0.996,0.996,0
854,0.006,-0.004,1.005,1.005,0
856,0.013,-0.007,1.001,1.001,0
858,0.012,0.002,1.008,1.008,0
860,0.003,-0.007,0.995,0.995,0
862,0.005,-0.005,0.996,0.996,0
864,0.011,-0.002,1.012,1.012,0
866,0.012,-0.009,1.003,1.003,0
868,0.006,-0.003,1.006,1.006,0
870,0.012,-0.004,1.009,1.009,0
872,0.008,-0.004,1.001,1.001,0
874,0.002,-0.002,0.997,0.997,0
876,0.009,-0.001,1.011,1.011,0
878,0.008,-0.005,1.001,1.001,0
880,0.007,-0.008,1.007,1.007,0
882,0.003,-0.008,0.999,0.999,0
884,0.008,-0.003,1.008,1.008,0
886,0.012,-0.002,1.007,1.008,0
888,0.012,-0.010,1.007,1.008,0
890,0.008,-0.003,1.005,1.005,0
892,0.009,-0.006,0.998,0.998,0
894,0.006,-0.005,1.004,1.004,0
896,0.003,-0.007,1.005,1.005,0
898,0.004,0.003,0.998,0.998,0
900,0.005,-0.003,1.012,1.012,0
902,0.008,-0.003,1.010,1.010,0
904,0.011,-0.002,1.005,1.005,0
906,0.001,-0.005,1.001,1.001,0
908,0.009,-0.004,1.002,1.002,0
910,0.009,-0.004,1.019,1.019,0
912,0.010,-0.008,0.998,0.998,0
914,0.012,-0.005,0.996,0.996,0
916,0.008,-0.006,1.006,1.006,0
918,0.006,-0.007,0.997,0.997,0
920,0.009,-0.003,0.995,0.995,0
922,0.011,-0.002,0.999,0.999,0
924,0.009,-0.003,0.997,0.997,0
926,0.012,-0.006,1.001,1.001,0
928,0.004,-0.004,1.009,1.009,0
930,0.010,-0.011,0.992,0.993,0
932,0.006,-0.008,1.002,1.002,0
934,-0.000,-0.004,1.004,1.004,0
936,0.011,0.002,0.995,0.996,0
938,0.002,-0.001,1.006,1.006,0
940,0.011,0.002,1.014,1.014,0
942,0.007,-0.006,1.002,1.002,0
944,0.003,-0.002,1.006,1.006,0
946,0.012,0.000,0.998,0.998,0
948,0.012,-0.002,0.992,0.992,0
950,0.004,-0.003,1.001,1.001,0
952,0.007,-0.005,1.009,1.009,0
954,0.011,-0.010,1.006,1.007,0
956,0.010,-0.012,1.007,1.007,0
958,0.005,-0.004,1.006,1.006,0
960,0.007,-0.012,1.007,1.007,0
962,0.006,-0.002,1.007,1.007,0
964,-0.000,-0.004,0.998,0.998,0
966,0.009,-0.010,1.000,1.000,0
968,0.006,-0.002,1.002,1.002,0
970,0.004,-0.007,1.007,1.007,0
972,0.007,0.000,1.000,1.000,0
974,0.008,-0.004,1.000,1.000,0
976,0.010,-0.003,1.002,1.002,0
978,0.009,-0.001,0.997,0.997,0
980,0.010,-0.011,1.005,1.006,0
982,0.010,-0.004,1.004,1.004,0
984,0.005,-0.010,1.007,1.007,0
986,0.008,-0.009,1.002,1.002,0
988,0.013,-0.003,0.996,0.996,0
990,0.015,-0.009,0.996,0.996,0
992,0.002,-0.003,1.005,1.005,0
994,0.007,-0.011,1.010,1.010,0
996,0.015,-0.008,1.003,1.003,0
998,0.006,-0.006,1.009,1.009,0
1000,0.007,-0.003,0.999,0.999,0
1002,0.005,-0.010,0.999,0.999,0
1004,0.003,-0.006,0.998,0.998,0
1006,0.009,-0.014,1.003,1.003,0
1008,0.001,-0.005,1.001,1.001,0
1010,0.009,-0.011,1.005,1.005,0
1012,0.002,-0.002,1.002,1.002,0
1014,0.007,-0.010,1.008,1.008,0
1016,0.009,-0.001,1.006,1.006,0
1018,0.012,-0.006,1.013,1.013,0
1020,0.003,-0.004,1.003,1.003,0
1022,0.010,-0.004,1.004,1.004,0
1024,0.011,-0.001,1.002,1.002,0
1026,0.004,-0.006,0.998,0.998,0
1028,-0.001,-0.001,1.002,1.002,0
1030,0.010,-0.007,1.002,1.002,0
1032,0.009,-0.005,1.000,1.000,0
1034,0.007,-0.000,1.002,1.002,0
1036,0.015,-0.006,1.005,1.005,0
1038,0.006,-0.004,1.006,1.006,0
1040,0.008,-0.010,1.000,1.000,0
1042,0.014,-0.008,0.999,0.999,0
1044,0.007,-0.004,1.000,1.000,0
1046,0.012,0.002,1.002,1.002,0
1048,0.009,-0.006,0.990,0.990,0
1050,0.002,-0.009,0.999,0.999,0
1052,0.004,-0.008,1.005,1.005,0
1054,0.009,-0.004,1.002,1.002,0
1056,0.013,-0.005,0.996,0.996,0
1058,0.006,-0.006,1.001,1.001,0
1060,0.006,-0.003,0.999,0.999,0
1062,0.014,-0.003,1.007,1.007,0
1064,0.004,-0.009,1.000,1.001,0
1066,0.011,-0.005,1.016,1.016,0
1068,0.011,-0.004,1.001,1.001,0
1070,0.005,-0.003,1.006,1.006,0
1072,0.012,-0.005,1.012,1.012,0
1074,0.009,-0.006,0.999,0.999,0
1076,0.005,-0.004,0.992,0.992,0
1078,0.007,-0.011,0.999,0.999,0
1080,0.004,-0.006,1.008,1.008,0
1082,0.002,-0.004,1.002,1.003,0
1084,0.001,-0.003,1.007,1.007,0
1086,0.016,-0.006,1.009,1.010,0
1088,0.000,-0.008,1.001,1.001,0
1090,0.013,-0.000,1.001,1.001,0
1092,0.003,-0.007,1.015,1.015,0
1094,0.010,-0.005,1.003,1.003,0
1096,0.005,0.000,0.997,0.997,0
1098,0.007,-0.008,1.004,1.004,0
1100,0.009,-0.005,1.006,1.006,0
1102,0.007,-0.002,1.000,1.000,0
1104,0.011,-0.009,1.009,1.009,0
1106,0.009,-0.007,1.006,1.006,0
1108,0.011,-0.015,1.000,1.001,0
1110,0.010,-0.007,1.001,1.001,0
1112,0.003,-0.003,1.009,1.009,0
1114,0.008,-0.002,1.001,1.001,0
1116,0.006,-0.002,1.003,1.003,0
1118,0.009,-0.007,1.004,1.004,0
1120,0.007,0.003,1.004,1.004,0
1122,0.012,-0.003,1.006,1.006,0
1124,0.006,-0.004,1.006,1.006,0
1126,0.010,-0.005,1.009,1.009,0
1128,0.009,-0.010,0.997,0.998,0
1130,0.006,-0.006,0.995,0.996,0
1132,0.008,-0.015,1.007,1.008,0
1134,0.012,-0.004,1.002,1.002,0
1136,-0.002,-0.001,1.004,1.004,0
1138,0.008,0.001,1.003,1.003,0
1140,0.003,-0.001,1.000,1.000,0
1142,0.003,-0.003,1.009,1.009,0
1144,0.008,-0.004,1.007,1.007,0
1146,0.005,-0.012,1.001,1.001,0
1148,0.006,0.001,1.003,1.003,0
1150,0.006,-0.005,0.993,0.993,0
1152,0.007,-0.008,0.997,0.997,0
1154,0.010,-0.011,1.005,1.005,0
1156,0.015,-0.004,1.001,1.001,0
1158,0.005,-0.010,0.999,0.999,0
1160,0.012,-0.006,1.004,1.004,0
1162,0.009,0.001,0.995,0.995,0
1164,-0.001,-0.005,1.010,1.010,0
1166,0.003,-0.009,1.004,1.004,0
1168,0.005,-0.006,1.001,1.001,0
1170,0.001,-0.012,0.998,0.998,0
1172,0.004,-0.003,0.996,0.996,0
1174,0.007,-0.008,1.000,1.000,0
1176,0.006,-0.008,1.006,1.006,0
1178,0.002,-0.015,1.004,1.004,0
1180,0.015,-0.007,1.005,1.006,0
1182,0.009,-0.009,1.010,1.010,0
1184,0.005,-0.006,0.998,0.999,0
1186,0.014,-0.012,1.003,1.003,0
1188,0.001,-0.002,1.007,1.007,0
1190,0.010,-0.009,1.006,1.006,0
1192,0.007,-0.004,1.006,1.006,0
1194,0.011,-0.008,1.003,1.003,0
1196,0.010,-0.014,0.999,0.999,0
1198,0.008,-0.003,1.010,1.010,0
1200,-0.004,-0.006,1.004,1.004,0
>>> SHOCK 2 DETECTED! <<<
1202,0.347,-0.239,3.264,3.291,1
1204,0.613,-0.411,5.065,5.119,1
1206,0.775,-0.515,6.073,6.144,1
1208,0.767,-0.519,6.075,6.145,1
1210,0.615,-0.415,5.065,5.119,1
1212,0.339,-0.229,3.255,3.281,1
>>> SHOCK 2 KET THUC. Thoi gian xung: 12 ms | Bien do dinh: 6.145 g | Settling time (~+-5%): 120 ms <<<
1214,0.009,-0.012,1.007,1.007,0
1216,0.195,-0.135,2.585,2.596,0
1218,0.160,-0.101,2.198,2.206,0
1220,0.107,-0.058,1.738,1.742,0
1222,0.034,-0.030,1.221,1.221,0
1224,-0.015,0.015,0.760,0.761,0
1226,-0.075,0.039,0.393,0.402,0
1228,-0.083,0.067,0.144,0.179,0
1230,-0.106,0.076,0.028,0.134,0
1232,-0.109,0.068,0.049,0.137,0
1234,-0.095,0.058,0.175,0.207,0
1236,-0.065,0.042,0.379,0.387,0
1238,-0.029,0.018,0.644,0.645,0
1240,0.003,0.000,0.901,0.901,0
1242,0.028,-0.015,1.147,1.147,0
1244,0.049,-0.031,1.334,1.336,0
1246,0.064,-0.043,1.458,1.460,0
1248,0.078,-0.054,1.514,1.517,0
1250,0.064,-0.049,1.513,1.515,0
1252,0.061,-0.039,1.439,1.441,0
1254,0.041,-0.029,1.319,1.320,0
1256,0.032,-0.021,1.180,1.181,0
1258,0.009,-0.010,1.044,1.044,0
1260,0.005,0.005,0.911,0.911,0
1262,-0.016,0.016,0.825,0.825,0
1264,-0.016,0.010,0.749,0.750,0
1266,-0.029,0.014,0.729,0.730,0
1268,-0.023,0.016,0.735,0.735,0
1270,-0.015,0.016,0.787,0.787,0
1272,-0.012,0.009,0.833,0.833,0
1274,-0.003,0.006,0.906,0.906,0
1276,0.007,-0.004,0.974,0.974,0
1278,0.015,-0.007,1.052,1.052,0
1280,0.016,-0.017,1.103,1.103,0
1282,0.019,-0.021,1.140,1.140,0
1284,0.019,-0.022,1.144,1.144,0
1286,0.023,-0.019,1.148,1.148,0
1288,0.025,-0.013,1.114,1.115,0
1290,0.023,-0.013,1.080,1.080,0
1292,0.013,-0.009,1.053,1.053,0
1294,0.002,-0.005,1.009,1.009,0
1296,0.006,-0.003,0.976,0.976,0
1298,0.006,-0.003,0.940,0.940,0
1300,-0.002,-0.002,0.933,0.933,0
1302,-0.005,-0.004,0.919,0.919,0
1304,0.004,-0.001,0.939,0.939,0
1306,0.000,-0.004,0.936,0.936,0
1308,0.011,0.001,0.959,0.959,0
1310,0.011,0.004,0.969,0.969,0
1312,0.014,-0.010,1.003,1.003,0
1314,0.002,-0.008,1.011,1.011,0
1316,0.007,-0.006,1.034,1.034,0
1318,0.014,-0.002,1.039,1.039,0
1320,0.009,-0.004,1.042,1.042,0
1322,0.010,-0.010,1.050,1.050,0
1324,0.007,-0.007,1.037,1.037,0
1326,0.016,-0.006,1.025,1.025,0
1328,0.006,-0.003,1.018,1.018,0
1330,0.012,-0.009,1.008,1.008,0
1332,0.010,-0.008,0.991,0.991,0
1334,0.007,-0.001,0.973,0.973,0
1336,0.012,-0.007,0.979,0.979,0
1338,0.002,0.000,0.981,0.981,0
1340,0.003,-0.007,0.986,0.986,0
1342,0.002,-0.008,0.980,0.980,0
1344,0.003,0.001,0.985,0.985,0
1346,-0.000,-0.004,0.994,0.994,0
1348,0.015,-0.003,1.009,1.009,0
1350,0.009,0.006,1.006,1.006,0
1352,0.001,-0.004,1.013,1.013,0
1354,0.009,-0.001,1.014,1.014,0
1356,0.005,-0.001,1.020,1.020,0
1358,0.008,-0.001,1.022,1.022,0
1360,0.005,-0.009,1.009,1.009,0
1362,0.009,-0.011,1.011,1.011,0
1364,0.011,-0.006,1.012,1.012,0
1366,0.006,-0.005,1.009,1.009,0
1368,0.009,-0.004,1.007,1.007,0
1370,0.009,-0.011,0.998,0.998,0
1372,0.006,-0.006,0.996,0.996,0
1374,0.012,0.003,1.006,1.006,0
1376,0.007,-0.002,0.991,0.991,0
1378,0.013,0.002,0.997,0.997,0
1380,0.004,-0.005,1.003,1.003,0
1382,0.005,-0.007,1.008,1.008,0
1384,0.009,-0.001,1.004,1.004,0
1386,0.009,0.001,0.996,0.996,0
1388,0.008,-0.009,1.002,1.002,0
1390,0.010,0.004,1.012,1.012,0
1392,0.010,-0.004,1.008,1.008,0
1394,0.008,-0.002,1.005,1.005,0
1396,0.012,-0.008,1.005,1.005,0
1398,0.007,-0.004,1.009,1.009,0
1400,0.005,-0.001,1.006,1.006,0
1402,0.007,-0.006,0.999,0.999,0
1404,0.008,-0.005,1.003,1.003,0
1406,0.009,-0.005,1.004,1.004,0
1408,0.012,0.001,0.996,0.997,0
1410,0.018,-0.006,1.002,1.002,0
1412,0.012,-0.009,1.007,1.007,0
1414,0.006,-0.003,1.003,1.003,0
1416,0.009,-0.004,1.000,1.000,0
1418,0.006,-0.009,1.005,1.005,0
1420,0.011,-0.004,1.012,1.012,0
1422,0.010,-0.014,1.003,1.004,0
1424,0.000,-0.008,1.010,1.010,0
1426,0.016,-0.005,1.001,1.001,0
1428,0.004,-0.003,1.005,1.005,0
1430,0.011,0.001,0.997,0.997,0
1432,0.008,-0.007,1.009,1.009,0
1434,0.016,-0.006,1.005,1.005,0
1436,0.003,-0.007,1.001,1.001,0
1438,0.013,0.003,0.999,0.999,0
1440,0.013,-0.010,1.006,1.006,0
1442,0.007,-0.001,1.001,1.001,0
1444,0.011,-0.008,1.000,1.000,0
1446,0.007,-0.002,0.999,0.999,0
1448,0.000,-0.007,1.006,1.006,0
1450,0.017,-0.010,1.017,1.017,0
1452,0.005,-0.010,0.999,0.999,0
1454,0.011,0.005,1.003,1.003,0
1456,0.004,-0.004,1.008,1.008,0
1458,0.007,-0.001,1.007,1.007,0
1460,0.006,-0.001,1.003,1.003,0
1462,0.008,-0.005,1.003,1.003,0
1464,0.009,-0.003,1.006,1.006,0
1466,0.008,-0.005,1.005,1.005,0
1468,0.004,-0.005,1.000,1.000,0
1470,0.007,-0.002,1.008,1.008,0
1472,0.017,-0.001,1.007,1.007,0
1474,0.014,-0.005,1.007,1.007,0
1476,0.004,0.001,1.009,1.009,0
