# MPU6050 Phan 6 - Simulated Data
# Time_ms, Roll_Accel(deg), Pitch_Accel(deg), Roll_Gyro(deg), Pitch_Gyro(deg), Yaw_Gyro(deg), Roll_CF(deg), Pitch_CF(deg), Roll_KF(deg), Pitch_KF(deg), Ax_lin(g), Ay_lin(g), Az_lin(g)
140,-0.38,12.50,10.15,-5.71,0.00,7.30,-4.28,9.79,-5.44,-0.2832,-0.0769,0.0767
150,-4.15,3.02,10.16,-5.71,-0.00,7.07,-4.13,9.73,-5.39,-0.1034,-0.1500,0.2043
160,4.83,7.64,10.16,-5.71,-0.00,7.03,-3.89,9.70,-5.32,-0.1624,0.0199,-0.0299
170,-6.45,-3.63,10.16,-5.70,0.00,6.76,-3.89,9.61,-5.31,0.0348,-0.1729,0.0410
180,4.62,6.23,10.16,-5.71,-0.00,6.72,-3.69,9.58,-5.24,-0.1411,0.0304,0.0467
190,1.27,10.99,10.17,-5.70,-0.00,6.62,-3.39,9.54,-5.14,-0.2059,-0.0318,-0.0257
200,-5.02,-11.92,10.17,-5.70,0.00,6.39,-3.56,9.44,-5.18,0.2145,-0.1455,0.1126
210,4.27,0.85,10.17,-5.71,0.01,6.34,-3.48,9.40,-5.14,-0.0372,0.0221,-0.0864
220,3.35,-1.40,10.17,-5.71,0.01,6.28,-3.44,9.35,-5.12,0.0064,0.0236,0.2047
230,8.28,9.68,10.16,-5.72,0.01,6.31,-3.18,9.34,-5.01,-0.2065,0.1094,0.0938
240,8.63,3.92,10.16,-5.73,0.02,6.36,-3.05,9.33,-4.95,-0.0708,0.0767,-0.1336
250,2.84,-1.63,10.17,-5.72,0.01,6.29,-3.02,9.28,-4.91,0.0262,0.0052,0.2486
260,-9.63,8.12,10.17,-5.73,0.01,5.98,-2.80,9.12,-4.81,-0.1550,-0.2258,0.0181
270,21.19,-4.42,10.18,-5.74,0.02,6.29,-2.84,9.23,-4.81,0.0703,0.2951,-0.1098
280,-10.45,3.30,10.18,-5.73,0.01,5.96,-2.71,9.06,-4.72,-0.0723,-0.2686,0.1561
290,6.84,1.22,10.18,-5.73,0.01,5.97,-2.63,9.03,-4.66,-0.0247,0.0802,0.0614
300,4.09,5.24,10.18,-5.73,0.02,5.94,-2.47,8.98,-4.56,-0.0676,0.0023,-0.2646
310,-11.07,-17.08,10.18,-5.72,0.03,5.60,-2.76,8.78,-4.68,0.2855,-0.2266,-0.0738
320,-1.53,-0.96,10.18,-5.72,0.03,5.46,-2.72,8.66,-4.63,0.0053,-0.0656,0.0446
330,-1.77,11.11,10.18,-5.72,0.03,5.31,-2.44,8.54,-4.46,-0.1438,-0.0559,-0.3052
340,10.10,-7.71,10.18,-5.72,0.04,5.41,-2.55,8.56,-4.49,0.1314,0.1442,0.0299
350,-6.34,8.75,10.18,-5.71,0.03,5.17,-2.32,8.39,-4.34,-0.1664,-0.1507,0.0388
360,-3.31,-3.44,10.17,-5.71,0.03,4.99,-2.34,8.24,-4.33,0.0457,-0.0788,-0.1543
370,-18.61,13.63,10.17,-5.71,0.03,4.52,-2.02,7.91,-4.10,-0.2656,-0.3705,0.0607
380,13.64,9.59,10.17,-5.71,0.03,4.70,-1.79,7.97,-3.93,-0.1624,0.2282,0.0201
390,-11.33,-3.26,10.18,-5.71,0.03,4.39,-1.82,7.73,-3.92,0.0631,-0.1830,-0.1517
400,1.91,-6.39,10.18,-5.70,0.03,4.35,-1.90,7.65,-3.93,0.1371,0.0253,0.1567
410,-1.25,-2.26,10.18,-5.71,0.04,4.23,-1.91,7.52,-3.91,0.0494,-0.0370,0.1372
420,-1.43,-0.15,10.18,-5.71,0.04,4.12,-1.88,7.39,-3.85,0.0061,-0.0347,-0.0303
430,6.36,1.43,10.18,-5.70,0.04,4.16,-1.81,7.37,-3.77,-0.0207,0.0964,-0.0158
440,11.93,9.83,10.19,-5.70,0.04,4.33,-1.57,7.43,-3.57,-0.1874,0.2143,0.1167
450,1.59,5.03,10.19,-5.70,0.05,4.28,-1.44,7.34,-3.44,-0.0699,0.0013,-0.0212
460,6.80,3.77,10.19,-5.71,0.06,4.32,-1.34,7.32,-3.33,-0.0295,0.0588,-0.2667
470,2.04,-9.19,10.19,-5.71,0.05,4.27,-1.50,7.23,-3.41,0.1883,0.0093,0.0912
480,8.93,-4.45,10.19,-5.70,0.04,4.37,-1.56,7.24,-3.41,0.0772,0.1070,-0.0986
490,-4.67,14.08,10.18,-5.70,0.05,4.18,-1.24,7.04,-3.13,-0.2269,-0.1093,-0.0334
500,6.91,-3.12,10.17,-5.70,0.06,4.23,-1.27,7.02,-3.12,0.0819,0.1154,0.2316
510,8.81,2.12,10.18,-5.69,0.05,4.32,-1.20,7.04,-3.02,-0.0233,0.1146,-0.0068
520,8.41,4.48,10.17,-5.69,0.06,4.40,-1.09,7.05,-2.89,-0.0637,0.1049,0.0129
530,-5.63,-5.74,10.18,-5.70,0.05,4.21,-1.19,6.83,-2.93,0.1231,-0.1487,0.0846
540,-1.83,-8.97,10.18,-5.70,0.05,4.09,-1.34,6.67,-3.02,0.1767,-0.0712,0.0797
550,1.66,-10.14,10.18,-5.69,0.05,4.04,-1.51,6.57,-3.12,0.1537,-0.0095,-0.1272
560,-11.93,5.79,10.16,-5.69,0.05,3.70,-1.37,6.22,-2.96,-0.1063,-0.2385,0.0015
570,12.48,1.43,10.17,-5.70,0.04,3.89,-1.31,6.32,-2.88,-0.0255,0.1960,0.0152
580,-0.63,-3.72,10.17,-5.71,0.04,3.80,-1.37,6.18,-2.89,0.0671,-0.0428,0.0480
590,1.74,-8.80,10.17,-5.70,0.04,3.75,-1.52,6.09,-2.98,0.1555,0.0016,0.0481
600,-3.89,2.09,10.17,-5.70,0.05,3.60,-1.45,5.88,-2.88,-0.0596,-0.1212,0.3732
610,-13.76,0.51,10.17,-5.71,0.05,3.26,-1.41,5.50,-2.81,-0.0147,-0.2220,-0.1817
620,-4.89,7.04,10.17,-5.70,0.06,3.09,-1.24,5.28,-2.61,-0.1452,-0.1079,0.1346
630,1.09,7.52,10.17,-5.70,0.06,3.05,-1.06,5.18,-2.40,-0.1508,0.0148,0.1568
640,4.71,-7.30,10.17,-5.70,0.06,3.08,-1.19,5.15,-2.48,0.1430,0.0788,0.0506
650,0.88,-13.47,10.18,-5.70,0.06,3.05,-1.43,5.05,-2.68,0.2134,0.0020,-0.1149
660,1.88,-0.41,10.18,-5.69,0.06,3.02,-1.40,4.96,-2.61,-0.0008,0.0282,0.2208
670,-4.94,-13.62,10.17,-5.69,0.05,2.86,-1.64,4.74,-2.82,0.1525,-0.0706,-0.3398
680,3.97,-4.57,10.17,-5.69,0.06,2.88,-1.71,4.69,-2.85,0.0534,0.0516,-0.1079
690,9.99,3.59,10.18,-5.70,0.05,3.03,-1.61,4.78,-2.71,-0.0928,0.1896,0.1619
700,5.61,-4.33,10.18,-5.70,0.05,3.09,-1.66,4.78,-2.73,0.0553,0.0693,-0.0659
710,5.02,-11.13,10.18,-5.70,0.05,3.12,-1.85,4.75,-2.90,0.2202,0.0808,0.2176
720,2.43,-1.04,10.18,-5.71,0.05,3.11,-1.84,4.68,-2.86,-0.0151,0.0033,-0.2362
730,-15.26,-15.89,10.17,-5.71,0.05,2.73,-2.12,4.22,-3.13,0.2138,-0.2530,-0.1674
740,-9.95,21.14,10.18,-5.70,0.04,2.48,-1.65,3.89,-2.59,-0.3932,-0.1750,-0.0764
750,3.05,-7.46,10.18,-5.69,0.04,2.50,-1.76,3.85,-2.68,0.1169,0.0474,0.0627
760,-0.67,-1.90,10.17,-5.70,0.04,2.43,-1.77,3.71,-2.66,0.0063,-0.0213,-0.0316
770,3.35,1.49,10.18,-5.69,0.05,2.46,-1.70,3.68,-2.55,-0.0490,0.0440,-0.0682
780,10.99,-1.53,10.18,-5.70,0.04,2.63,-1.70,3.81,-2.52,0.0091,0.2180,0.2075
790,4.50,12.44,10.18,-5.70,0.04,2.67,-1.42,3.80,-2.17,-0.2876,0.0717,0.2104
800,10.47,0.75,10.18,-5.70,0.03,2.82,-1.38,3.92,-2.09,-0.0213,0.1440,-0.0749
810,0.31,-5.43,10.18,-5.70,0.03,2.77,-1.46,3.81,-2.15,0.0619,-0.0291,-0.2557
820,-10.51,-18.59,10.18,-5.71,0.03,2.50,-1.81,3.45,-2.52,0.2185,-0.1562,-0.3067
830,-1.00,3.10,10.18,-5.70,0.03,2.43,-1.70,3.31,-2.37,-0.0768,-0.0416,0.0501
840,-6.61,5.09,10.18,-5.70,0.04,2.26,-1.57,3.05,-2.19,-0.1143,-0.1459,0.1070
850,12.15,2.98,10.18,-5.70,0.04,2.45,-1.47,3.22,-2.05,-0.0649,0.1981,0.0172
860,6.08,-8.72,10.18,-5.71,0.04,2.52,-1.62,3.26,-2.20,0.1403,0.0788,-0.0028
870,4.28,-4.35,10.18,-5.71,0.04,2.56,-1.69,3.25,-2.24,0.0497,0.0364,-0.1072
880,8.84,2.98,10.19,-5.72,0.04,2.69,-1.59,3.36,-2.11,-0.0752,0.1365,0.1062
890,-13.72,-4.20,10.19,-5.71,0.03,2.37,-1.64,2.92,-2.14,0.0772,-0.3343,0.2467
900,6.40,-2.82,10.19,-5.71,0.04,2.45,-1.67,2.97,-2.14,0.0141,0.0541,-0.3207
910,-11.47,-9.04,10.20,-5.71,0.05,2.17,-1.81,2.58,-2.29,0.1376,-0.2192,0.0002
920,-0.72,5.51,10.20,-5.71,0.03,2.12,-1.66,2.46,-2.09,-0.1074,-0.0225,-0.1271
930,-4.03,2.07,10.19,-5.71,0.04,1.99,-1.59,2.26,-1.97,-0.0487,-0.0648,-0.1948
940,5.92,2.57,10.19,-5.71,0.04,2.07,-1.50,2.31,-1.84,-0.0554,0.0772,-0.1337
950,1.28,10.40,10.20,-5.71,0.04,2.06,-1.27,2.25,-1.52,-0.2053,0.0116,0.0881
960,9.97,-3.33,10.21,-5.70,0.05,2.23,-1.30,2.42,-1.54,0.0557,0.1701,0.0873
970,-4.59,-2.70,10.21,-5.70,0.05,2.09,-1.33,2.21,-1.55,0.0479,-0.1158,0.2333
980,5.34,-1.15,10.21,-5.69,0.06,2.15,-1.32,2.25,-1.51,0.0090,0.0768,0.0148
990,1.07,1.14,10.21,-5.69,0.06,2.13,-1.27,2.18,-1.42,-0.0256,-0.0050,-0.2377
1000,-14.40,10.61,10.20,-5.68,0.06,1.80,-1.02,1.71,-1.09,-0.1926,-0.2609,-0.0092
1010,-10.19,2.95,10.20,-5.68,0.05,1.56,-0.94,1.35,-0.96,-0.0412,-0.1457,-0.1724
1020,-2.19,2.12,10.20,-5.67,0.06,1.48,-0.87,1.21,-0.85,-0.0280,-0.0289,-0.1382
1030,7.99,5.08,10.20,-5.67,0.06,1.61,-0.75,1.34,-0.67,-0.0921,0.1524,0.1234
1040,3.22,0.23,10.20,-5.67,0.05,1.64,-0.73,1.35,-0.62,0.0038,0.0524,0.0622
1050,-9.40,-4.07,10.20,-5.68,0.05,1.42,-0.80,1.02,-0.69,0.0842,-0.1827,0.1151
1060,-1.82,-17.23,10.20,-5.67,0.04,1.35,-1.13,0.90,-1.10,0.2912,-0.0272,-0.0253
1070,14.30,-2.23,10.20,-5.67,0.04,1.62,-1.15,1.21,-1.11,0.0327,0.2817,0.1396
1080,0.40,-3.47,10.20,-5.67,0.03,1.59,-1.19,1.15,-1.15,0.0429,-0.0041,-0.0390
1090,-2.83,-0.42,10.20,-5.66,0.03,1.50,-1.17,1.00,-1.11,-0.0065,-0.0663,0.1810
1100,3.37,13.88,10.20,-5.66,0.03,1.54,-0.86,1.02,-0.68,-0.2690,0.0537,0.0620
1110,5.97,-0.91,10.21,-5.66,0.03,1.63,-0.87,1.11,-0.66,0.0141,0.0897,-0.0198
1120,-4.22,-1.56,10.21,-5.66,0.03,1.52,-0.89,0.92,-0.67,0.0257,-0.0886,0.0410
1130,3.64,-20.72,10.21,-5.66,0.03,1.56,-1.28,0.96,-1.19,0.3669,0.0525,0.0061
1140,-2.68,0.40,10.20,-5.66,0.03,1.47,-1.25,0.81,-1.13,-0.0299,-0.0686,0.2358
1150,5.24,-3.48,10.21,-5.66,0.02,1.55,-1.29,0.89,-1.18,0.0420,0.0842,0.0316
1160,0.86,-0.82,10.21,-5.66,0.02,1.54,-1.28,0.85,-1.15,-0.0080,0.0016,-0.0052
1170,3.59,8.86,10.22,-5.67,0.02,1.59,-1.08,0.89,-0.86,-0.1692,0.0461,-0.0387
1180,-6.11,-9.35,10.21,-5.67,0.02,1.43,-1.25,0.65,-1.08,0.1686,-0.1331,0.1174
1190,-6.69,-6.62,10.21,-5.67,0.02,1.26,-1.36,0.40,-1.21,0.1045,-0.1353,0.0922
1200,7.59,-7.91,10.20,-5.66,0.03,1.39,-1.49,0.55,-1.38,0.1048,0.1232,-0.0523
1210,-1.47,7.74,10.21,-5.67,0.03,1.33,-1.31,0.45,-1.12,-0.1427,-0.0290,-0.1753
1220,2.10,-14.43,10.22,-5.66,0.03,1.36,-1.56,0.46,-1.46,0.1939,0.0244,-0.1304
1230,-3.20,10.73,10.22,-5.66,0.02,1.27,-1.31,0.32,-1.11,-0.2154,-0.0611,-0.0216
1240,5.78,-4.98,10.22,-5.67,0.02,1.36,-1.40,0.42,-1.21,0.0787,0.1137,0.1979
1250,-5.82,-19.26,10.22,-5.67,0.02,1.22,-1.75,0.21,-1.70,0.3033,-0.1067,-0.0398
1260,-1.85,7.78,10.22,-5.67,0.03,1.15,-1.56,0.10,-1.42,-0.1652,-0.0341,-0.0869
1270,8.02,4.80,10.22,-5.67,0.02,1.29,-1.44,0.28,-1.24,-0.0964,0.0990,-0.2488
1280,7.52,-1.58,10.22,-5.67,0.02,1.41,-1.44,0.44,-1.23,0.0033,0.1492,0.2303
1290,-4.54,2.84,10.22,-5.67,0.01,1.30,-1.35,0.26,-1.10,-0.0828,-0.1001,0.0842
1300,13.88,10.18,10.22,-5.66,0.02,1.55,-1.12,0.60,-0.76,-0.2279,0.2588,0.1123
1310,1.80,-1.48,10.22,-5.66,0.02,1.55,-1.12,0.60,-0.76,0.0142,0.0113,0.1303
1320,-9.40,7.79,10.22,-5.66,0.02,1.34,-0.94,0.28,-0.49,-0.1476,-0.1826,-0.0367
1330,2.49,-4.99,10.22,-5.66,0.02,1.36,-1.02,0.30,-0.60,0.0786,0.0278,0.0006
1340,-3.08,5.37,10.23,-5.65,0.02,1.27,-0.89,0.16,-0.40,-0.1238,-0.0808,0.2007
1350,2.98,-13.42,10.22,-5.65,0.01,1.30,-1.13,0.20,-0.75,0.2342,0.0397,0.0041
1360,-0.84,4.98,10.22,-5.64,0.02,1.26,-1.01,0.13,-0.56,-0.1099,-0.0302,0.0620
1370,0.06,1.40,10.22,-5.64,0.01,1.23,-0.96,0.08,-0.48,-0.0387,-0.0120,0.0993
1380,-7.42,-7.13,10.21,-5.64,0.02,1.05,-1.08,-0.19,-0.65,0.1250,-0.1519,0.0619
1390,7.80,9.17,10.21,-5.64,0.02,1.19,-0.87,0.00,-0.35,-0.1725,0.1267,-0.0511
1400,-10.15,-2.98,10.22,-5.64,0.02,0.97,-0.91,-0.33,-0.40,0.0439,-0.1855,-0.0351
1410,-8.74,-10.55,10.22,-5.64,0.02,0.78,-1.10,-0.61,-0.68,0.1956,-0.1695,0.0823
1420,2.25,10.91,10.23,-5.62,0.02,0.81,-0.85,-0.57,-0.31,-0.2296,0.0493,0.0779
1430,10.82,-2.23,10.23,-5.62,0.03,1.01,-0.88,-0.28,-0.35,0.0373,0.2229,0.1299
1440,-3.23,-3.03,10.23,-5.62,0.03,0.93,-0.92,-0.41,-0.40,0.0462,-0.0669,0.0355
1450,4.86,-6.97,10.24,-5.61,0.02,1.02,-1.03,-0.29,-0.57,0.1182,0.0866,0.0402
1460,8.91,9.64,10.24,-5.61,0.02,1.18,-0.82,-0.06,-0.25,-0.1754,0.1353,-0.1104
1470,6.79,10.62,10.24,-5.60,0.02,1.29,-0.58,0.10,0.10,-0.1785,0.0917,-0.1241
1480,-2.83,-4.89,10.25,-5.61,0.02,1.21,-0.68,-0.02,-0.03,0.0930,-0.0733,0.0761
1490,-10.42,-3.85,10.25,-5.62,0.03,0.99,-0.75,-0.36,-0.13,0.0563,-0.1808,-0.1207
1500,-18.38,-3.05,10.25,-5.61,0.02,0.60,-0.79,-0.93,-0.19,0.0468,-0.3308,-0.0358
1510,-2.29,-3.33,10.25,-5.62,0.01,0.54,-0.84,-1.01,-0.27,0.0582,-0.0372,0.1654
1520,7.83,3.83,10.25,-5.62,0.02,0.68,-0.75,-0.80,-0.13,-0.0910,0.1700,0.1346
1530,-9.43,-2.88,10.25,-5.61,0.02,0.48,-0.78,-1.10,-0.18,0.0435,-0.1666,-0.0031
1540,5.51,-3.70,10.25,-5.61,0.02,0.58,-0.84,-0.95,-0.26,0.0500,0.1017,-0.0881
1550,-8.58,4.87,10.25,-5.60,0.01,0.40,-0.72,-1.22,-0.08,-0.0960,-0.1385,-0.0591
1560,0.29,-14.49,10.25,-5.60,0.01,0.40,-0.99,-1.23,-0.49,0.2764,0.0189,0.0851
1570,5.36,-5.06,10.24,-5.60,0.02,0.49,-1.07,-1.09,-0.61,0.0643,0.1037,-0.0480
1580,-6.57,9.46,10.23,-5.60,0.02,0.34,-0.86,-1.30,-0.30,-0.1762,-0.0963,-0.1200
1590,0.74,-5.58,10.23,-5.59,0.02,0.35,-0.95,-1.28,-0.43,0.0959,0.0268,0.1388
1600,-3.91,6.79,10.24,-5.59,0.01,0.27,-0.80,-1.40,-0.20,-0.1414,-0.0580,-0.0155
1610,5.80,-8.28,10.24,-5.60,0.02,0.38,-0.95,-1.23,-0.43,0.1168,0.1045,-0.1228
1620,1.32,-9.97,10.24,-5.60,0.02,0.40,-1.13,-1.20,-0.70,0.1639,0.0324,0.0338
1630,-0.07,5.01,10.24,-5.60,0.02,0.39,-1.01,-1.21,-0.52,-0.1264,0.0053,0.1023
1640,14.28,-10.28,10.24,-5.60,0.02,0.66,-1.20,-0.79,-0.80,0.1342,0.2190,-0.1848
1650,5.11,-4.66,10.24,-5.61,0.02,0.76,-1.27,-0.65,-0.90,0.0490,0.0804,-0.0606
1660,-6.52,-8.16,10.24,-5.60,0.02,0.61,-1.41,-0.86,-1.11,0.1049,-0.1164,-0.0641
1670,-1.19,-15.50,10.25,-5.59,0.02,0.58,-1.68,-0.90,-1.52,0.2528,-0.0244,0.0387
1680,-1.09,0.86,10.25,-5.59,0.03,0.55,-1.63,-0.95,-1.44,-0.0651,-0.0218,0.0624
1690,0.12,5.61,10.25,-5.60,0.02,0.54,-1.49,-0.96,-1.23,-0.1343,0.0016,-0.1094
1700,24.58,7.29,10.24,-5.60,0.02,1.01,-1.31,-0.24,-0.97,-0.1469,0.3498,-0.2381
1710,2.21,4.93,10.24,-5.61,0.02,1.04,-1.20,-0.19,-0.79,-0.1291,0.0254,0.1336
1720,-20.10,-0.53,10.25,-5.61,0.02,0.63,-1.18,-0.81,-0.77,-0.0174,-0.3188,-0.1797
1730,-4.88,-3.79,10.26,-5.61,0.03,0.52,-1.24,-0.96,-0.86,0.0431,-0.0901,0.0275
1740,-16.53,-3.34,10.26,-5.60,0.03,0.18,-1.27,-1.47,-0.91,0.0318,-0.2836,-0.0313
1750,-3.23,-7.77,10.25,-5.61,0.03,0.11,-1.41,-1.56,-1.12,0.1086,-0.0411,0.0122
1760,-13.56,-0.96,10.26,-5.61,0.03,-0.16,-1.41,-1.96,-1.11,-0.0128,-0.2752,0.2237
1770,-5.41,-9.06,10.26,-5.61,0.03,-0.27,-1.56,-2.11,-1.34,0.1931,-0.1025,0.4102
1780,-16.87,1.38,10.26,-5.61,0.03,-0.60,-1.50,-2.60,-1.25,-0.0614,-0.1899,-0.2760
1790,2.32,-19.96,10.26,-5.60,0.03,-0.54,-1.86,-2.50,-1.80,0.3670,0.0911,0.1107
1800,-0.56,-6.45,10.25,-5.61,0.03,-0.55,-1.96,-2.50,-1.95,0.0502,0.0319,-0.0573
1810,1.71,5.22,10.25,-5.61,0.04,-0.50,-1.82,-2.42,-1.73,-0.1636,0.0734,0.1172
1820,-1.25,6.83,10.25,-5.62,0.04,-0.52,-1.65,-2.44,-1.48,-0.1859,0.0116,0.0984
1830,-10.01,-4.19,10.25,-5.62,0.03,-0.71,-1.70,-2.72,-1.55,0.0447,-0.1727,0.1580
1840,3.58,0.72,10.24,-5.62,0.04,-0.63,-1.65,-2.58,-1.49,-0.0581,0.1078,-0.0102
1850,17.25,-7.71,10.24,-5.62,0.03,-0.27,-1.77,-2.03,-1.67,0.0784,0.3031,-0.1771
1860,2.52,-4.45,10.23,-5.62,0.03,-0.23,-1.83,-1.94,-1.75,0.0402,0.0723,0.0907
1870,-4.03,-0.50,10.24,-5.62,0.03,-0.30,-1.80,-2.04,-1.71,-0.0396,-0.0503,-0.0292
1880,-12.70,5.99,10.24,-5.62,0.04,-0.55,-1.65,-2.41,-1.48,-0.1480,-0.1906,-0.0778
1890,-8.67,12.06,10.23,-5.63,0.04,-0.71,-1.38,-2.64,-1.07,-0.2358,-0.1069,-0.1085
1900,2.81,2.28,10.24,-5.63,0.05,-0.63,-1.30,-2.52,-0.96,-0.0717,0.0924,0.1082
1910,6.78,-6.62,10.24,-5.63,0.05,-0.48,-1.41,-2.28,-1.13,0.1175,0.1761,0.1879
1920,1.96,-3.50,10.23,-5.63,0.05,-0.44,-1.45,-2.20,-1.19,0.0201,0.0516,-0.2203
1930,5.59,8.41,10.24,-5.63,0.05,-0.32,-1.25,-2.00,-0.89,-0.1889,0.1258,0.0496
1940,5.64,-2.69,10.25,-5.63,0.05,-0.19,-1.29,-1.79,-0.94,0.0227,0.1064,-0.0945
1950,4.66,-5.47,10.26,-5.62,0.05,-0.08,-1.36,-1.63,-1.06,0.0518,0.0724,-0.2458
1960,-5.90,6.08,10.26,-5.61,0.04,-0.20,-1.20,-1.79,-0.83,-0.1316,-0.0973,-0.0034
1970,1.02,-2.72,10.26,-5.60,0.04,-0.18,-1.22,-1.74,-0.87,0.0228,0.0262,-0.1430
1980,-9.82,-2.04,10.26,-5.60,0.04,-0.37,-1.24,-2.02,-0.89,0.0081,-0.1208,-0.2420
1990,-0.46,9.42,10.25,-5.60,0.04,-0.38,-1.03,-2.02,-0.58,-0.1635,0.0087,-0.1164
2000,2.59,-4.80,10.24,-5.60,0.04,-0.32,-1.10,-1.92,-0.69,0.0585,0.0529,-0.1457
2010,14.53,-6.17,10.24,-5.59,0.04,-0.03,-1.20,-1.46,-0.84,0.0845,0.2423,-0.0841
2020,-13.95,-12.03,10.24,-5.59,0.05,-0.31,-1.41,-1.87,-1.17,0.1547,-0.1957,-0.1767
2030,3.67,-10.37,10.24,-5.60,0.06,-0.23,-1.60,-1.73,-1.45,0.1428,0.0694,-0.0352
2040,12.95,11.15,10.24,-5.61,0.05,0.03,-1.35,-1.32,-1.07,-0.2108,0.2084,-0.0788
2050,5.46,6.31,10.23,-5.61,0.05,0.14,-1.20,-1.14,-0.84,-0.1376,0.0950,0.0803
2060,5.86,-4.94,10.23,-5.61,0.04,0.25,-1.28,-0.96,-0.96,0.0763,0.1008,0.1074
2070,4.18,-5.17,10.24,-5.62,0.04,0.33,-1.36,-0.82,-1.09,0.0723,0.0608,0.0545
2080,10.52,-5.49,10.25,-5.62,0.04,0.55,-1.44,-0.48,-1.22,0.0689,0.1591,-0.0189
2090,-9.91,-30.73,10.25,-5.64,0.04,0.34,-2.05,-0.79,-2.13,0.5411,-0.1889,-0.0218
2100,-13.55,-6.48,10.25,-5.64,0.04,0.06,-2.14,-1.20,-2.27,0.0463,-0.2220,-0.1026
2110,-0.69,-11.84,10.25,-5.64,0.04,0.04,-2.33,-1.21,-2.56,0.1245,-0.0143,-0.0940
2120,-16.40,-7.85,10.25,-5.64,0.03,-0.28,-2.44,-1.69,-2.73,0.0924,-0.3206,0.1268
2130,12.84,-8.52,10.25,-5.64,0.02,-0.02,-2.56,-1.28,-2.92,0.0447,0.1787,-0.2305
2140,9.65,1.51,10.24,-5.64,0.03,0.17,-2.48,-0.98,-2.79,-0.0953,0.1684,0.0202
2150,-4.37,-7.74,10.26,-5.63,0.03,0.09,-2.58,-1.09,-2.95,0.0625,-0.0757,-0.0154
2160,-3.35,4.89,10.25,-5.63,0.03,0.01,-2.43,-1.19,-2.72,-0.1589,-0.0630,0.1169
2170,-1.46,1.09,10.24,-5.64,0.03,-0.03,-2.37,-1.23,-2.62,-0.0746,-0.0174,-0.1774
2180,-0.12,2.93,10.24,-5.64,0.03,-0.03,-2.26,-1.22,-2.46,-0.1063,0.0012,0.0363
2190,0.48,-1.71,10.24,-5.64,0.05,-0.02,-2.26,-1.19,-2.45,-0.0201,0.0119,0.0816
2200,5.66,-26.15,10.24,-5.65,0.05,0.09,-2.74,-1.01,-3.18,0.2991,0.0727,-0.2428
2210,-2.37,16.65,10.25,-5.65,0.06,0.06,-2.35,-1.06,-2.59,-0.3118,-0.0351,-0.1123
2220,7.37,-6.84,10.25,-5.65,0.07,0.21,-2.45,-0.82,-2.73,0.0677,0.1257,0.0333
2230,2.94,11.32,10.25,-5.65,0.08,0.26,-2.17,-0.72,-2.31,-0.2633,0.0485,0.1180
2240,-5.46,2.74,10.25,-5.66,0.07,0.14,-2.08,-0.89,-2.17,-0.0876,-0.1039,0.0648
2250,9.69,-9.21,10.25,-5.66,0.07,0.34,-2.22,-0.58,-2.39,0.1392,0.1780,0.1154
2260,-13.83,-1.90,10.24,-5.66,0.07,0.05,-2.22,-1.01,-2.38,-0.0138,-0.2147,-0.1240
2270,-1.72,10.14,10.24,-5.66,0.08,0.01,-1.96,-1.05,-2.00,-0.1758,-0.0235,-0.1904
2280,7.38,4.75,10.24,-5.65,0.08,0.16,-1.83,-0.81,-1.79,-0.1154,0.1286,0.0576
