ax,ay,az,gx,gy,gz
-0.0167,0.0123,0.9886,0.2650,-0.1626,0.2004
-0.0112,0.0096,0.9815,0.4176,-0.1204,0.2843
-0.0124,0.0080,0.9861,0.2568,-0.1645,0.1888
-0.0149,0.0092,0.9854,0.2725,-0.1258,0.1953
-0.0092,0.0068,0.9855,0.3186,-0.1703,0.2713
-0.0117,0.0066,0.9852,0.2819,-0.1805,0.2112
-0.0115,0.0103,0.9848,0.2805,-0.2056,0.2243
-0.0148,0.0093,0.9877,0.3403,-0.1294,0.2796
-0.0154,0.0056,0.9789,0.2802,-0.1171,0.2942
-0.0129,0.0079,0.9818,0.3462,-0.1013,0.2521
-0.0152,0.0063,0.9833,0.3458,-0.1551,0.2561
-0.0128,0.0127,0.9875,0.3647,-0.1543,0.2434
-0.0107,0.0088,0.9875,0.3267,-0.2158,0.2821
-0.0100,0.0038,0.9814,0.2976,-0.1613,0.2797
-0.0127,0.0098,0.9795,0.2620,-0.1825,0.2645
-0.0127,0.0089,0.9925,0.2562,-0.1995,0.1572
-0.0121,0.0090,0.9905,0.3481,-0.1361,0.2674
-0.0122,0.0058,0.9859,0.3129,-0.2372,0.2910
-0.0154,0.0098,0.9873,0.2827,-0.1282,0.2767
-0.0171,0.0070,0.9822,0.2664,-0.2172,0.1989
-0.0098,0.0052,0.9854,0.2275,-0.1656,0.2601
-0.0135,0.0063,0.9853,0.3485,-0.2170,0.2554
-0.0141,0.0081,0.9812,0.2943,-0.2351,0.2773
-0.0111,0.0036,0.9873,0.2718,-0.1819,0.2873
-0.0100,0.0096,0.9825,0.2712,-0.2507,0.2839
-0.0093,0.0061,0.9858,0.3351,-0.1453,0.2410
-0.0127,0.0111,0.9898,0.3320,-0.1946,0.3361
-0.0162,0.0067,0.9834,0.2485,-0.1961,0.2038
-0.0091,0.0053,0.9871,0.2925,-0.0802,0.2214
-0.0151,0.0063,0.9860,0.3056,-0.2159,0.2620
-0.0120,0.0110,0.9850,0.3484,-0.1647,0.3535
-0.0138,0.0031,0.9819,0.2483,-0.2384,0.2357
-0.0106,0.0084,0.9844,0.2148,-0.1961,0.2498
-0.0042,0.0070,0.9845,0.3125,-0.2144,0.2656
-0.0076,0.0080,0.9845,0.3214,-0.0980,0.2352
-0.0109,0.0079,0.9879,0.2703,-0.1423,0.2799
-0.0131,0.0070,0.9845,0.3673,-0.1844,0.1603
-0.0106,0.0174,0.9920,0.3233,-0.2017,0.2925
-0.0126,0.0107,0.9873,0.3440,-0.2212,0.1999
-0.0126,0.0085,0.9877,0.3364,-0.1936,0.2449
-0.0081,0.0057,0.9858,0.3345,-0.2204,0.1689
-0.0133,0.0034,0.9853,0.3279,-0.2250,0.3378
-0.0090,0.0118,0.9935,0.3326,-0.2081,0.2415
-0.0118,0.0112,0.9822,0.1974,-0.1568,0.3047
-0.0126,0.0053,0.9829,0.3144,-0.1507,0.1649
-0.0127,0.0141,0.9876,0.3243,-0.1126,0.2717
-0.0118,0.0052,0.9866,0.3138,-0.2294,0.2410
-0.0118,0.0053,0.9851,0.2662,-0.2506,0.2614
-0.0148,0.0069,0.9879,0.1972,-0.2119,0.3595
-0.0106,0.0061,0.9856,0.3737,-0.1935,0.2926
-0.0082,0.0056,0.9888,0.3031,-0.1314,0.2227
-0.0096,0.0122,0.9851,0.2630,-0.2416,0.2408
-0.0119,0.0047,0.9861,0.2816,-0.2040,0.2912
-0.0093,0.0117,0.9831,0.3005,-0.1073,0.2434
-0.0144,0.0078,0.9869,0.2744,-0.1232,0.2748
-0.0142,0.0095,0.9858,0.3050,-0.1851,0.2251
-0.0149,0.0041,0.9886,0.3313,-0.1077,0.2486
-0.0149,0.0095,0.9874,0.3695,-0.1745,0.2360
-0.0146,0.0062,0.9824,0.3139,-0.1775,0.2478
-0.0122,0.0124,0.9843,0.3188,-0.1847,0.2423
-0.0127,0.0157,0.9882,0.3164,-0.2042,0.2189
-0.0135,0.0055,0.9838,0.2360,-0.2356,0.2645
-0.0106,0.0089,0.9875,0.2341,-0.0653,0.2371
-0.0129,0.0092,0.9850,0.3598,-0.2721,0.2170
-0.0093,0.0132,0.9862,0.3793,-0.1619,0.2420
-0.0078,0.0069,0.9873,0.2956,-0.2065,0.3773
-0.0138,0.0117,0.9879,0.3542,-0.2487,0.3256
-0.0070,0.0087,0.9868,0.3131,-0.1336,0.3059
-0.0129,0.0058,0.9834,0.2833,-0.3040,0.2231
-0.0125,0.0086,0.9840,0.3699,-0.2231,0.2519
-0.0101,0.0079,0.9859,0.2626,-0.2324,0.2579
-0.0168,0.0131,0.9876,0.3676,-0.1180,0.2267
-0.0158,0.0044,0.9890,0.2578,-0.1654,0.3037
-0.0127,0.0108,0.9865,0.3089,-0.1542,0.3170
-0.0125,0.0099,0.9874,0.2606,-0.2398,0.2157
-0.0172,0.0044,0.9845,0.3112,-0.2060,0.2254
-0.0107,0.0121,0.9889,0.3693,-0.1951,0.1803
-0.0138,0.0117,0.9886,0.3101,-0.1998,0.2727
-0.0115,0.0051,0.9868,0.2943,-0.2536,0.2894
-0.0138,0.0131,0.9821,0.3664,-0.1639,0.1873
-0.0088,0.0079,0.9865,0.3090,-0.0922,0.1926
-0.0146,0.0067,0.9868,0.3837,-0.2289,0.2951
-0.0148,0.0074,0.9891,0.3154,-0.1549,0.2229
-0.0177,0.0006,0.9859,0.3342,-0.1555,0.2262
-0.0123,0.0069,0.9843,0.3303,-0.2455,0.2566
-0.0102,0.0077,0.9799,0.3065,-0.1427,0.3342
-0.0081,0.0078,0.9874,0.1898,-0.1615,0.3250
-0.0124,0.0101,0.9857,0.3145,-0.1249,0.2307
-0.0109,0.0062,0.9855,0.2828,-0.2386,0.1966
-0.0147,0.0060,0.9860,0.2562,-0.0885,0.2322
-0.0104,0.0105,0.9884,0.2955,-0.1801,0.2774
-0.0103,0.0091,0.9880,0.3942,-0.0938,0.3162
-0.0116,0.0119,0.9831,0.3619,-0.2405,0.2202
-0.0152,0.0088,0.9864,0.2993,-0.1576,0.2725
-0.0155,0.0056,0.9875,0.3735,-0.1609,0.1937
-0.0101,0.0064,0.9855,0.2583,-0.1493,0.2526
-0.0173,0.0122,0.9844,0.3587,-0.1498,0.2810
-0.0080,0.0145,0.9832,0.3021,-0.2320,0.3143
-0.0167,0.0105,0.9857,0.3148,-0.1941,0.2639
-0.0103,0.0067,0.9906,0.3470,-0.1275,0.2019
-0.0181,0.0076,0.9872,0.2312,-0.1548,0.2720
-0.0114,0.0092,0.9844,0.3152,-0.1751,0.2272
-0.0091,0.0087,0.9878,0.3514,-0.1478,0.2119
-0.0096,0.0061,0.9836,0.3722,-0.1342,0.2929
-0.0072,0.0027,0.9841,0.3739,-0.1957,0.2261
-0.0071,0.0104,0.9871,0.2117,-0.2821,0.1949
-0.0133,0.0094,0.9863,0.2964,-0.1795,0.1905
-0.0166,0.0088,0.9860,0.3516,-0.0710,0.2258
-0.0130,0.0038,0.9801,0.3093,-0.2364,0.1185
-0.0167,0.0120,0.9840,0.3570,-0.0931,0.2778
-0.0112,0.0032,0.9888,0.3300,-0.2610,0.3182
-0.0156,0.0085,0.9806,0.3503,-0.1243,0.2784
-0.0142,0.0098,0.9809,0.3474,-0.1072,0.2968
-0.0154,0.0080,0.9835,0.2584,-0.1507,0.2358
-0.0131,0.0072,0.9851,0.2538,-0.1916,0.2907
-0.0124,0.0068,0.9857,0.2860,-0.2139,0.2682
-0.0115,0.0104,0.9856,0.3825,-0.2155,0.2967
-0.0079,0.0041,0.9834,0.3290,-0.2371,0.1932
-0.0117,0.0150,0.9849,0.3128,-0.1746,0.2121
-0.0118,0.0084,0.9863,0.3114,-0.1570,0.2816
-0.0115,0.0089,0.9864,0.3290,-0.1475,0.2258
-0.0070,0.0076,0.9847,0.3236,-0.2484,0.1890
-0.0072,0.0100,0.9885,0.3766,-0.2163,0.2966
-0.0129,0.0061,0.9910,0.3666,-0.2058,0.2490
-0.0114,0.0045,0.9890,0.2868,-0.1899,0.2064
-0.0127,0.0048,0.9878,0.2964,-0.1292,0.2221
-0.0117,0.0082,0.9847,0.2392,-0.1435,0.2621
-0.0119,0.0042,0.9840,0.3163,-0.1171,0.2467
-0.0094,0.0098,0.9846,0.3129,-0.2375,0.3354
-0.0120,0.0077,0.9853,0.3066,-0.1702,0.1870
-0.0064,0.0080,0.9909,0.3504,-0.1675,0.2480
-0.0090,0.0012,0.9876,0.2806,-0.1269,0.2635
-0.0126,0.0130,0.9833,0.2359,-0.1167,0.1761
-0.0142,0.0088,0.9872,0.2999,-0.1122,0.2719
-0.0105,0.0075,0.9871,0.3150,-0.1434,0.1604
-0.0050,0.0078,0.9871,0.2665,-0.1509,0.2613
-0.0136,0.0092,0.9852,0.4134,-0.2147,0.2561
-0.0106,0.0084,0.9881,0.3533,-0.1926,0.2537
-0.0077,0.0055,0.9891,0.3324,-0.1124,0.2005
-0.0100,0.0066,0.9857,0.3069,-0.1195,0.2155
-0.0121,0.0095,0.9850,0.3101,-0.2071,0.2824
-0.0123,0.0069,0.9849,0.2979,-0.1315,0.2784
-0.0134,0.0086,0.9836,0.3319,-0.1925,0.2167
-0.0168,0.0111,0.9849,0.2715,-0.1624,0.2602
-0.0119,0.0057,0.9788,0.3630,-0.1235,0.2645
-0.0138,0.0126,0.9843,0.3585,-0.1375,0.2241
-0.0115,0.0087,0.9864,0.3171,-0.1570,0.1642
-0.0114,0.0014,0.9873,0.3406,-0.1212,0.2741
-0.0165,0.0070,0.9846,0.3552,-0.1871,0.1743
-0.0139,0.0030,0.9829,0.3503,-0.1596,0.2040
-0.0105,0.0076,0.9892,0.2905,-0.0635,0.2635
-0.0102,0.0072,0.9851,0.3958,-0.1313,0.2094
-0.0159,0.0072,0.9864,0.3622,-0.1711,0.2312
-0.0110,0.0098,0.9799,0.2532,-0.1980,0.3062
-0.0109,0.0094,0.9894,0.3299,-0.2510,0.1763
-0.0154,0.0121,0.9852,0.2664,-0.1493,0.2006
-0.0121,0.0102,0.9835,0.2659,-0.2521,0.2808
-0.0133,0.0140,0.9799,0.3030,-0.1950,0.2608
-0.0152,0.0124,0.9845,0.3837,-0.1700,0.2812
-0.0143,0.0046,0.9897,0.3046,-0.2119,0.3127
-0.0103,0.0072,0.9851,0.2745,-0.2090,0.2744
-0.0134,0.0117,0.9840,0.2770,-0.2164,0.2167
-0.0166,0.0088,0.9900,0.3354,-0.2257,0.3147
-0.0102,0.0107,0.9836,0.2495,-0.2111,0.3028
-0.0120,0.0088,0.9869,0.2991,-0.2032,0.2753
-0.0162,0.0100,0.9862,0.2746,-0.2601,0.3537
-0.0168,0.0099,0.9879,0.3989,-0.1968,0.3015
-0.0132,0.0053,0.9895,0.3719,-0.1675,0.2132
-0.0139,0.0073,0.9898,0.3199,-0.1266,0.2199
-0.0134,0.0089,0.9786,0.3521,-0.2200,0.2233
-0.0114,0.0047,0.9813,0.2707,-0.1930,0.1722
-0.0121,0.0048,0.9824,0.2630,-0.1839,0.2698
-0.0160,0.0065,0.9869,0.2633,-0.1481,0.3149
-0.0118,0.0045,0.9856,0.3791,-0.1887,0.2009
-0.0110,0.0055,0.9816,0.2995,-0.1933,0.1355
-0.0082,0.0059,0.9820,0.3268,-0.1307,0.2485
-0.0129,0.0067,0.9851,0.3132,-0.1768,0.2481
-0.0086,0.0072,0.9891,0.2940,-0.2586,0.3264
-0.0144,0.0091,0.9894,0.4412,-0.0523,0.1210
-0.0172,0.0074,0.9884,0.3526,-0.1477,0.1897
-0.0103,0.0124,0.9803,0.2962,-0.1302,0.1614
-0.0154,0.0095,0.9893,0.3354,-0.2162,0.2210
-0.0099,0.0108,0.9808,0.3489,-0.2169,0.2029
-0.0150,0.0097,0.9910,0.4144,-0.2138,0.2224
-0.0106,0.0040,0.9847,0.2956,-0.3186,0.2164
-0.0106,0.0068,0.9853,0.3076,-0.2254,0.2386
-0.0117,0.0073,0.9876,0.2638,-0.1104,0.2371
-0.0134,0.0090,0.9816,0.3213,-0.2031,0.2254
-0.0162,0.0094,0.9865,0.3715,-0.1397,0.3602
-0.0112,0.0108,0.9837,0.2637,-0.1411,0.2788
-0.0137,0.0066,0.9847,0.2618,-0.1027,0.3142
-0.0131,0.0081,0.9870,0.3010,-0.1961,0.2439
-0.0103,0.0050,0.9835,0.2838,-0.2373,0.2781
-0.0181,0.0122,0.9884,0.3290,-0.2543,0.2769
-0.0137,0.0056,0.9888,0.2960,-0.1555,0.2496
-0.0110,0.0053,0.9873,0.3776,-0.2422,0.1880
-0.0111,0.0142,0.9829,0.3591,-0.1766,0.2472
-0.0164,0.0103,0.9846,0.3179,-0.2037,0.3002
-0.0098,0.0063,0.9873,0.2994,-0.1374,0.1530
-0.0128,0.0108,0.9850,0.2990,-0.1009,0.2079
-0.0065,0.0085,0.9880,0.2832,-0.2017,0.1793
-0.0102,0.0078,0.9785,0.2942,-0.1595,0.2098
-0.0097,0.0037,0.9878,0.3971,-0.1866,0.3047
-0.0105,0.0061,0.9866,0.3671,-0.1614,0.3521
-0.0173,0.0090,0.9827,0.3380,-0.1288,0.3025
-0.0114,0.0049,0.9837,0.3622,-0.2478,0.2704
-0.0121,0.0099,0.9869,0.3494,-0.2484,0.2221
-0.0177,0.0089,0.9818,0.2446,-0.1712,0.2692
-0.0147,0.0108,0.9857,0.3676,-0.1567,0.2391
-0.0136,0.0077,0.9872,0.2338,-0.2609,0.2233
-0.0140,0.0087,0.9873,0.4168,-0.1925,0.1731
-0.0149,0.0063,0.9895,0.3818,-0.1909,0.2395
-0.0139,0.0073,0.9829,0.2742,-0.1547,0.2919
-0.0159,0.0110,0.9859,0.3446,-0.2351,0.1915
-0.0074,0.0116,0.9855,0.2931,-0.1780,0.3066
-0.0146,0.0090,0.9853,0.2929,-0.1165,0.1897
-0.0145,0.0039,0.9839,0.3033,-0.2538,0.2209
-0.0134,0.0079,0.9920,0.3129,-0.1472,0.2983
-0.0138,0.0084,0.9836,0.3126,-0.1399,0.2813
-0.0175,0.0102,0.9840,0.2513,-0.1521,0.1786
-0.0132,0.0068,0.9818,0.2372,-0.0702,0.2449
-0.0176,0.0024,0.9853,0.4004,-0.1215,0.3517
-0.0128,0.0089,0.9803,0.2993,-0.1601,0.2144
-0.0140,0.0020,0.9867,0.3228,-0.2310,0.3241
-0.0111,0.0065,0.9832,0.3356,-0.1544,0.2368
-0.0119,0.0082,0.9887,0.3257,-0.1659,0.2662
-0.0089,0.0098,0.9844,0.3297,-0.2218,0.3512
-0.0144,0.0028,0.9833,0.3471,-0.1293,0.2879
-0.0138,0.0077,0.9827,0.3586,-0.1813,0.2501
-0.0069,0.0102,0.9844,0.3616,-0.2199,0.2731
-0.0062,0.0102,0.9818,0.2924,-0.1180,0.2820
-0.0115,0.0062,0.9856,0.3387,-0.2055,0.2962
-0.0124,0.0097,0.9845,0.4251,-0.1279,0.1361
-0.0140,0.0042,0.9842,0.3148,-0.1747,0.1238
-0.0149,0.0108,0.9848,0.3183,-0.1833,0.2381
-0.0146,0.0122,0.9841,0.3240,-0.2535,0.2625
-0.0145,0.0091,0.9880,0.3768,-0.1901,0.2112
-0.0138,0.0086,0.9839,0.2377,-0.1338,0.2423
-0.0135,0.0135,0.9880,0.3468,-0.2024,0.1911
-0.0133,0.0139,0.9848,0.3508,-0.2100,0.2412
-0.0107,0.0108,0.9844,0.3476,-0.1644,0.3211
-0.0144,0.0092,0.9789,0.3242,-0.1346,0.2451
-0.0163,0.0087,0.9827,0.2927,-0.2365,0.2849
-0.0112,0.0091,0.9783,0.3249,-0.2164,0.1730
-0.0130,0.0136,0.9844,0.3876,-0.1885,0.2926
-0.0113,0.0116,0.9870,0.3310,-0.1785,0.2597
-0.0155,0.0092,0.9889,0.3248,-0.2293,0.2327
-0.0166,0.0100,0.9814,0.3008,-0.1607,0.3023
-0.0152,0.0120,0.9889,0.3201,-0.1876,0.2103
-0.0111,0.0070,0.9795,0.2970,-0.1886,0.2924
-0.0147,0.0083,0.9885,0.2939,-0.2072,0.2166
-0.0134,0.0064,0.9800,0.3235,-0.1492,0.3304
-0.0103,0.0080,0.9860,0.3097,-0.2671,0.2280
-0.0146,0.0111,0.9866,0.3175,-0.2633,0.2321
-0.0139,0.0097,0.9843,0.2730,-0.2587,0.2129
-0.0115,0.0076,0.9853,0.2828,-0.1690,0.2830
-0.0094,0.0061,0.9859,0.3568,-0.1423,0.3452
-0.0137,0.0046,0.9911,0.3613,-0.1494,0.3225
-0.0118,0.0102,0.9874,0.2523,-0.2330,0.2889
-0.0063,0.0093,0.9867,0.3774,-0.1927,0.2030
-0.0156,0.0051,0.9864,0.3384,-0.2003,0.2760
-0.0122,0.0094,0.9856,0.3171,-0.2301,0.2966
-0.0086,0.0101,0.9827,0.3252,-0.1186,0.2452
-0.0131,0.0089,0.9833,0.2786,-0.2411,0.3354
-0.0135,0.0081,0.9839,0.3216,-0.2005,0.3585
-0.0143,0.0086,0.9867,0.3451,-0.0819,0.1920
-0.0115,0.0110,0.9757,0.2867,-0.2221,0.2843
-0.0087,0.0089,0.9896,0.3951,-0.1402,0.2906
-0.0114,0.0108,0.9834,0.3992,-0.2126,0.2388
-0.0074,0.0114,0.9864,0.3346,-0.1980,0.2193
-0.0111,0.0036,0.9847,0.2738,-0.1449,0.2240
-0.0095,0.0095,0.9820,0.2712,-0.1478,0.3253
-0.0068,0.0116,0.9821,0.3493,-0.0931,0.2814
-0.0178,0.0068,0.9832,0.3107,-0.1296,0.3054
-0.0157,0.0091,0.9887,0.3840,-0.1530,0.2484
-0.0150,0.0036,0.9830,0.3373,-0.1978,0.3189
-0.0152,0.0075,0.9858,0.3354,-0.1734,0.3169
-0.0068,0.0054,0.9908,0.2033,-0.2214,0.1851
-0.0122,0.0136,0.9888,0.2696,-0.1411,0.2550
-0.0094,0.0135,0.9826,0.2997,-0.1881,0.2433
-0.0117,0.0077,0.9880,0.2799,-0.2834,0.2674
-0.0122,0.0100,0.9812,0.3595,-0.1563,0.3336
-0.0190,0.0062,0.9854,0.3351,-0.2293,0.2899
-0.0154,0.0117,0.9796,0.2683,-0.1132,0.3635
-0.0150,0.0089,0.9850,0.3612,-0.1890,0.2464
-0.0178,0.0088,0.9884,0.2547,-0.1130,0.2160
-0.0054,0.0077,0.9800,0.3265,-0.1816,0.1391
-0.0137,0.0108,0.9880,0.3225,-0.1724,0.1635
-0.0156,0.0076,0.9831,0.3759,-0.1757,0.2856
-0.0111,0.0124,0.9854,0.3278,-0.1965,0.2018
-0.0122,0.0049,0.9857,0.3216,-0.2777,0.3193
-0.0149,0.0082,0.9842,0.3409,-0.1804,0.2766
-0.0136,0.0092,0.9857,0.3224,-0.1385,0.2581
-0.0092,0.0078,0.9849,0.3098,-0.2351,0.2337
-0.0106,0.0094,0.9896,0.3158,-0.1676,0.1899
-0.0120,0.0071,0.9845,0.3020,-0.1240,0.2796
-0.0114,0.0079,0.9842,0.2913,-0.1345,0.2695
-0.0118,0.0047,0.9869,0.2988,-0.1713,0.2736
-0.0183,0.0099,0.9878,0.3082,-0.2300,0.1968
-0.0096,0.0058,0.9860,0.2875,-0.2554,0.2024
-0.0139,0.0088,0.9817,0.3220,-0.1915,0.3386
-0.0117,0.0061,0.9849,0.3366,-0.2315,0.2581
-0.0133,0.0105,0.9885,0.3793,-0.1856,0.1937
-0.0113,0.0073,0.9897,0.2876,-0.2650,0.2728
-0.0168,0.0036,0.9828,0.2133,-0.2121,0.3328
-0.0098,0.0079,0.9866,0.3120,-0.1147,0.2197
-0.0102,0.0054,0.9888,0.3226,-0.1515,0.2891
-0.0164,0.0063,0.9861,0.2461,-0.1878,0.2629
-0.0112,0.0086,0.9861,0.3289,-0.2616,0.1952
-0.0134,0.0102,0.9918,0.1972,-0.1432,0.1846
-0.0127,0.0113,0.9879,0.4176,-0.2965,0.2708
-0.0152,0.0058,0.9860,0.3612,-0.1711,0.1404
-0.0124,0.0025,0.9831,0.3718,-0.1221,0.2691
-0.0152,0.0067,0.9757,0.2607,-0.0879,0.1754
-0.0129,0.0110,0.9882,0.3286,-0.1468,0.2391
-0.0120,0.0076,0.9881,0.2580,-0.1240,0.2983
-0.0114,0.0065,0.9863,0.3272,-0.1089,0.3186
-0.0131,0.0076,0.9841,0.3679,-0.1734,0.1720
-0.0153,0.0061,0.9877,0.3254,-0.1741,0.2311
-0.0138,0.0100,0.9887,0.3729,-0.0834,0.3019
-0.0132,0.0104,0.9858,0.3134,-0.1839,0.2390
-0.0183,0.0055,0.9902,0.2699,-0.1762,0.2778
-0.0066,0.0082,0.9855,0.2729,-0.0647,0.2316
-0.0113,0.0074,0.9862,0.2906,-0.1056,0.2255
-0.0103,0.0052,0.9834,0.3218,-0.1564,0.2481
-0.0069,0.0097,0.9885,0.2386,-0.2220,0.2446
-0.0154,0.0049,0.9812,0.2865,-0.1408,0.2123
-0.0100,0.0065,0.9868,0.3881,-0.1688,0.1799
-0.0074,0.0092,0.9836,0.3926,-0.1467,0.1965
-0.0078,0.0050,0.9853,0.3088,-0.2087,0.2665
-0.0134,0.0090,0.9924,0.3657,-0.0965,0.2413
-0.0106,0.0031,0.9839,0.3572,-0.2418,0.1725
-0.0153,0.0046,0.9900,0.3626,-0.2722,0.2698
-0.0142,0.0099,0.9874,0.3972,-0.1722,0.2152
-0.0145,0.0072,0.9859,0.3106,-0.1335,0.2486
-0.0122,0.0124,0.9781,0.3209,-0.2458,0.2024
-0.0117,0.0060,0.9884,0.3339,-0.1734,0.2752
-0.0097,0.0067,0.9829,0.3936,-0.2616,0.2440
-0.0094,0.0035,0.9801,0.3266,-0.2139,0.2286
-0.0118,0.0068,0.9871,0.3710,-0.0955,0.3202
-0.0080,0.0050,0.9829,0.3709,-0.2111,0.2768
-0.0135,0.0137,0.9889,0.3537,-0.1912,0.3545
-0.0127,0.0084,0.9866,0.3553,-0.1677,0.2457
-0.0166,0.0094,0.9857,0.3315,-0.1920,0.2390
-0.0130,0.0073,0.9883,0.2963,-0.2547,0.2616
-0.0078,0.0078,0.9874,0.2642,-0.1761,0.2284
-0.0147,0.0058,0.9900,0.3127,-0.2259,0.2251
-0.0113,0.0082,0.9840,0.2695,-0.1861,0.3209
-0.0103,0.0010,0.9873,0.3375,-0.2050,0.2381
-0.0138,0.0088,0.9793,0.2988,-0.1442,0.2516
-0.0134,0.0055,0.9895,0.3305,-0.1959,0.3734
-0.0148,0.0090,0.9835,0.2445,-0.1552,0.1604
-0.0109,0.0059,0.9895,0.2744,-0.1570,0.2148
-0.0106,0.0093,0.9846,0.3459,-0.2233,0.2544
-0.0093,0.0073,0.9832,0.3594,-0.1265,0.3136
-0.0135,0.0081,0.9876,0.2851,-0.1462,0.2776
-0.0137,0.0065,0.9828,0.2984,-0.1218,0.3189
-0.0156,0.0066,0.9877,0.2979,-0.2191,0.2636
-0.0096,0.0060,0.9891,0.3528,-0.2236,0.1203
-0.0090,0.0010,0.9810,0.2855,-0.1949,0.0986
-0.0124,0.0012,0.9799,0.2922,-0.1836,0.3694
-0.0098,0.0103,0.9883,0.3387,-0.2447,0.2703
-0.0105,0.0101,0.9840,0.3295,-0.2197,0.2154
-0.0096,0.0101,0.9847,0.2464,-0.1499,0.2230
-0.0103,0.0061,0.9850,0.3822,-0.2857,0.3198
-0.0153,0.0065,0.9867,0.3685,-0.1919,0.2439
-0.0148,0.0131,0.9841,0.3637,-0.1631,0.2129
-0.0094,0.0037,0.9921,0.2793,-0.1536,0.2583
-0.0131,0.0105,0.9812,0.3066,-0.1392,0.2282
-0.0158,0.0074,0.9821,0.2664,-0.1734,0.2022
-0.0138,0.0139,0.9839,0.3641,-0.1679,0.1970
-0.0068,0.0055,0.9855,0.2666,-0.2318,0.1582
-0.0145,0.0123,0.9865,0.3124,-0.1312,0.3223
-0.0127,0.0083,0.9859,0.2753,-0.2627,0.2184
-0.0125,0.0105,0.9870,0.3148,-0.1915,0.2442
-0.0097,0.0085,0.9882,0.3430,-0.2209,0.3046
-0.0124,0.0064,0.9926,0.2196,-0.2262,0.2384
-0.0156,0.0085,0.9873,0.4532,-0.2731,0.2059
-0.0111,0.0062,0.9841,0.3002,-0.1726,0.3078
-0.0107,0.0099,0.9823,0.3339,-0.1052,0.2324
-0.0150,0.0100,0.9860,0.2413,-0.2632,0.2401
-0.0143,0.0068,0.9901,0.2457,-0.2619,0.2932
-0.0154,0.0096,0.9858,0.3240,-0.1710,0.2020
-0.0131,0.0101,0.9866,0.2523,-0.1166,0.2169
-0.0170,0.0079,0.9830,0.2306,-0.1905,0.2617
-0.0124,0.0068,0.9826,0.3608,-0.2202,0.2082
-0.0118,0.0075,0.9857,0.3703,-0.1301,0.1593
-0.0070,0.0094,0.9827,0.3377,-0.1345,0.1842
-0.0115,0.0114,0.9894,0.3370,-0.2006,0.3210
-0.0123,0.0082,0.9836,0.3408,-0.1244,0.1577
-0.0132,0.0102,0.9827,0.2523,-0.1799,0.2449
-0.0115,0.0102,0.9857,0.3615,-0.2767,0.3446
-0.0130,0.0119,0.9858,0.2889,-0.1599,0.3125
-0.0084,0.0069,0.9829,0.2308,-0.2002,0.3405
-0.0079,0.0089,0.9850,0.4264,-0.2046,0.2641
-0.0109,0.0100,0.9862,0.2804,-0.1501,0.2354
-0.0132,0.0058,0.9867,0.4049,-0.2655,0.2538
-0.0053,0.0048,0.9873,0.2368,-0.2152,0.2054
-0.0104,0.0099,0.9801,0.3738,-0.2407,0.2033
-0.0163,0.0063,0.9910,0.3381,-0.2127,0.2202
-0.0154,0.0069,0.9841,0.2478,-0.1965,0.2297
-0.0078,0.0114,0.9858,0.3020,-0.2374,0.2045
-0.0093,0.0103,0.9836,0.2648,-0.1354,0.2213
-0.0161,0.0138,0.9835,0.3022,-0.2011,0.3057
-0.0127,0.0070,0.9848,0.3067,-0.1411,0.2805
