Pos 1 - Z HUONG LEN
ax,ay,az
-0.0140,0.0255,0.9909
-0.0101,0.0282,0.9936
-0.0233,0.0224,0.9854
-0.0274,0.0253,0.9929
-0.0199,0.0257,0.9850
-0.0197,0.0260,0.9838
-0.0139,0.0183,0.9891
-0.0197,0.0302,0.9907
-0.0253,0.0165,0.9845
-0.0198,0.0243,0.9881
-0.0156,0.0202,0.9817
-0.0171,0.0237,0.9876
-0.0202,0.0244,0.9932
-0.0237,0.0207,0.9902
-0.0125,0.0243,0.9836
-0.0250,0.0259,0.9836
-0.0104,0.0332,0.9888
-0.0163,0.0246,0.9920
-0.0180,0.0252,0.9928
-0.0158,0.0325,0.9823
-0.0199,0.0218,0.9909
-0.0197,0.0271,0.9839
-0.0183,0.0330,0.9937
-0.0246,0.0263,0.9909
-0.0197,0.0211,0.9903
-0.0176,0.0269,0.9874
-0.0098,0.0218,0.9863
-0.0162,0.0276,0.9832
-0.0135,0.0199,0.9880
-0.0191,0.0225,0.9920
-0.0262,0.0224,0.9848
-0.0149,0.0304,0.9907
-0.0131,0.0172,0.9886
  Mean -> Ax=-0.0180  Ay=0.0252  Az=0.9877

Pos 2 - Z HUONG XUONG
ax,ay,az
-0.0228,0.0237,-1.0111
-0.0177,0.0298,-1.0189
-0.0209,0.0198,-1.0177
-0.0145,0.0256,-1.0066
-0.0139,0.0252,-1.0154
-0.0145,0.0226,-1.0162
-0.0220,0.0254,-1.0076
-0.0178,0.0293,-1.0117
-0.0195,0.0345,-1.0056
-0.0173,0.0221,-1.0176
-0.0166,0.0241,-1.0104
-0.0169,0.0265,-1.0080
-0.0169,0.0225,-1.0147
-0.0160,0.0212,-1.0095
-0.0155,0.0248,-1.0147
-0.0242,0.0211,-1.0177
-0.0179,0.0235,-1.0152
-0.0149,0.0255,-1.0118
-0.0160,0.0286,-1.0176
-0.0155,0.0187,-1.0148
-0.0145,0.0274,-1.0097
-0.0174,0.0299,-1.0174
-0.0191,0.0252,-1.0049
-0.0144,0.0286,-1.0147
-0.0101,0.0267,-1.0155
-0.0098,0.0200,-1.0150
-0.0188,0.0216,-1.0102
-0.0170,0.0254,-1.0054
-0.0237,0.0298,-1.0149
-0.0129,0.0317,-1.0039
-0.0187,0.0209,-1.0109
-0.0182,0.0188,-1.0094
-0.0212,0.0300,-1.0086
-0.0190,0.0251,-1.0128
-0.0196,0.0358,-1.0153
-0.0178,0.0285,-1.0133
-0.0202,0.0203,-1.0078
-0.0155,0.0266,-1.0173
-0.0162,0.0260,-1.0132
-0.0228,0.0248,-1.0150
-0.0177,0.0252,-1.0132
-0.0149,0.0248,-1.0101
-0.0165,0.0285,-1.0154
-0.0192,0.0282,-1.0115
-0.0141,0.0276,-1.0136
-0.0149,0.0241,-1.0087
-0.0115,0.0288,-1.0040
-0.0234,0.0231,-1.0129
-0.0194,0.0263,-1.0133
-0.0141,0.0284,-1.0106
-0.0215,0.0269,-1.0096
-0.0168,0.0251,-1.0071
-0.0199,0.0237,-1.0097
-0.0161,0.0280,-1.0130
-0.0226,0.0207,-1.0135
-0.0152,0.0278,-1.0184
-0.0161,0.0247,-1.0156
-0.0103,0.0259,-1.0091
-0.0090,0.0230,-1.0134
-0.0128,0.0204,-1.0117
-0.0178,0.0284,-1.0106
-0.0212,0.0284,-1.0090
-0.0217,0.0226,-1.0138
-0.0220,0.0287,-1.0131
-0.0190,0.0214,-1.0134
-0.0128,0.0276,-1.0177
-0.0215,0.0272,-1.0137
-0.0199,0.0220,-1.0167
-0.0177,0.0237,-1.0080
-0.0182,0.0216,-1.0096
-0.0133,0.0224,-1.0180
-0.0197,0.0203,-1.0063
-0.0229,0.0239,-1.0068
-0.0150,0.0232,-1.0147
-0.0186,0.0242,-1.0068
-0.0185,0.0203,-1.0085
-0.0144,0.0242,-1.0093
-0.0178,0.0208,-1.0123
-0.0220,0.0228,-1.0153
-0.0168,0.0257,-1.0166
-0.0212,0.0250,-1.0104
-0.0177,0.0173,-1.0075
-0.0118,0.0305,-1.0101
-0.0156,0.0227,-1.0113
-0.0220,0.0254,-1.0170
-0.0160,0.0238,-1.0093
-0.0174,0.0234,-1.0090
-0.0221,0.0241,-1.0139
-0.0154,0.0247,-1.0111
-0.0162,0.0168,-1.0152
-0.0176,0.0285,-1.0100
-0.0134,0.0242,-1.0116
-0.0197,0.0235,-1.0149
-0.0199,0.0243,-1.0143
-0.0179,0.0186,-1.0105
-0.0174,0.0266,-1.0136
-0.0198,0.0284,-1.0125
-0.0110,0.0201,-1.0129
-0.0219,0.0222,-1.0148
-0.0197,0.0277,-1.0160
-0.0159,0.0200,-1.0134
-0.0134,0.0266,-1.0110
-0.0158,0.0270,-1.0098
-0.0131,0.0214,-1.0122
-0.0158,0.0276,-1.0100
-0.0134,0.0232,-1.0167
-0.0135,0.0250,-1.0139
-0.0179,0.0235,-1.0085
-0.0149,0.0261,-1.0101
-0.0179,0.0286,-1.0203
-0.0221,0.0249,-1.0134
-0.0213,0.0272,-1.0154
-0.0172,0.0254,-1.0118
-0.0209,0.0243,-1.0077
-0.0161,0.0284,-1.0123
-0.0240,0.0234,-1.0125
-0.0134,0.0290,-1.0105
-0.0210,0.0254,-1.0129
-0.0189,0.0207,-1.0104
-0.0181,0.0278,-1.0171
-0.0219,0.0378,-1.0151
-0.0170,0.0265,-1.0154
-0.0120,0.0248,-1.0115
-0.0116,0.0222,-1.0137
-0.0192,0.0202,-1.0110
-0.0163,0.0256,-1.0097
-0.0150,0.0262,-1.0128
-0.0137,0.0226,-1.0071
-0.0187,0.0277,-1.0056
-0.0259,0.0243,-1.0134
-0.0120,0.0236,-1.0024
-0.0233,0.0262,-1.0134
-0.0162,0.0230,-1.0136
-0.0244,0.0254,-1.0172
-0.0226,0.0253,-1.0124
-0.0144,0.0203,-1.0105
-0.0169,0.0239,-1.0148
-0.0183,0.0281,-1.0133
-0.0150,0.0240,-1.0060
-0.0179,0.0244,-1.0176
-0.0230,0.0263,-1.0128
-0.0170,0.0226,-1.0125
-0.0202,0.0260,-1.0128
-0.0115,0.0226,-1.0081
-0.0217,0.0234,-1.0149
-0.0136,0.0265,-1.0115
-0.0172,0.0212,-1.0071
-0.0131,0.0249,-1.0120
-0.0157,0.0244,-1.0127
-0.0197,0.0238,-1.0137
-0.0154,0.0239,-1.0135
-0.0202,0.0198,-1.0065
-0.0162,0.0280,-1.0139
-0.0129,0.0255,-1.0069
-0.0180,0.0248,-1.0138
-0.0177,0.0258,-1.0068
-0.0126,0.0253,-1.0077
-0.0275,0.0234,-1.0111
-0.0149,0.0265,-1.0122
-0.0196,0.0222,-1.0053
-0.0141,0.0296,-1.0120
-0.0199,0.0269,-1.0121
-0.0184,0.0249,-1.0142
-0.0210,0.0242,-1.0168
-0.0159,0.0279,-1.0147
-0.0244,0.0264,-1.0112
-0.0179,0.0203,-1.0187
-0.0120,0.0242,-1.0102
-0.0182,0.0264,-1.0165
-0.0196,0.0203,-1.0158
-0.0205,0.0187,-1.0136
-0.0205,0.0208,-1.0125
-0.0180,0.0221,-1.0050
-0.0155,0.0289,-1.0131
-0.0149,0.0277,-1.0156
-0.0204,0.0352,-1.0134
-0.0163,0.0242,-1.0091
-0.0215,0.0215,-1.0080
-0.0173,0.0163,-1.0119
-0.0186,0.0275,-1.0109
-0.0168,0.0253,-1.0110
-0.0220,0.0221,-1.0150
-0.0227,0.0278,-1.0082
-0.0159,0.0229,-1.0139
-0.0195,0.0289,-1.0102
-0.0119,0.0216,-1.0128
-0.0224,0.0200,-1.0125
-0.0192,0.0232,-1.0174
-0.0173,0.0240,-1.0088
-0.0161,0.0204,-1.0106
-0.0201,0.0304,-1.0121
-0.0198,0.0236,-1.0173
-0.0135,0.0324,-1.0181
-0.0189,0.0246,-1.0141
-0.0137,0.0294,-1.0129
-0.0108,0.0251,-1.0128
-0.0170,0.0224,-1.0069
-0.0158,0.0238,-1.0126
-0.0212,0.0259,-1.0165
-0.0180,0.0232,-1.0100
  Mean -> Ax=-0.0176  Ay=0.0249  Az=-1.0122

Pos 3 - X HUONG LEN
ax,ay,az
0.9856,0.0278,-0.0124
0.9795,0.0240,-0.0121
0.9837,0.0230,-0.0154
0.9826,0.0298,-0.0054
0.9848,0.0215,-0.0071
0.9790,0.0223,-0.0105
0.9772,0.0278,-0.0122
0.9834,0.0221,-0.0090
0.9838,0.0237,-0.0087
0.9727,0.0263,-0.0124
0.9792,0.0256,-0.0103
0.9794,0.0246,-0.0121
0.9834,0.0293,-0.0136
0.9866,0.0204,-0.0109
0.9760,0.0253,-0.0095
0.9891,0.0252,-0.0146
0.9856,0.0251,-0.0117
0.9852,0.0288,-0.0181
0.9822,0.0249,-0.0157
0.9763,0.0248,-0.0136
0.9795,0.0245,-0.0132
0.9821,0.0305,-0.0121
0.9886,0.0294,-0.0086
0.9795,0.0240,-0.0152
0.9835,0.0248,-0.0105
0.9831,0.0256,-0.0132
0.9786,0.0235,-0.0095
0.9814,0.0248,-0.0090
0.9837,0.0198,-0.0123
0.9790,0.0248,-0.0106
0.9838,0.0308,-0.0138
0.9810,0.0270,-0.0086
0.9784,0.0274,-0.0097
0.9815,0.0240,-0.0094
0.9835,0.0264,-0.0146
0.9760,0.0247,-0.0129
0.9836,0.0223,-0.0098
0.9834,0.0224,-0.0087
0.9808,0.0226,-0.0111
0.9819,0.0218,-0.0098
0.9820,0.0223,-0.0181
0.9835,0.0253,-0.0116
0.9868,0.0163,-0.0076
0.9868,0.0216,-0.0084
0.9792,0.0214,-0.0124
0.9884,0.0263,-0.0118
0.9851,0.0228,-0.0068
0.9875,0.0265,-0.0148
0.9858,0.0260,-0.0097
0.9860,0.0265,-0.0152
0.9872,0.0260,-0.0109
0.9842,0.0261,-0.0094
0.9827,0.0244,-0.0139
0.9802,0.0240,-0.0085
0.9808,0.0246,-0.0124
0.9839,0.0273,-0.0051
0.9771,0.0242,-0.0100
0.9761,0.0311,-0.0124
0.9792,0.0284,-0.0197
0.9827,0.0215,-0.0121
0.9833,0.0278,-0.0106
0.9893,0.0252,-0.0132
0.9863,0.0248,-0.0105
0.9682,0.0266,-0.0123
0.9805,0.0227,-0.0088
0.9749,0.0360,-0.0080
0.9833,0.0317,-0.0110
0.9789,0.0286,-0.0177
0.9841,0.0292,-0.0101
0.9769,0.0257,-0.0124
0.9794,0.0169,-0.0161
0.9802,0.0289,-0.0024
0.9850,0.0222,-0.0135
0.9858,0.0271,-0.0106
0.9828,0.0292,-0.0042
0.9820,0.0256,-0.0102
0.9804,0.0173,-0.0103
0.9794,0.0296,-0.0114
0.9872,0.0220,-0.0080
0.9763,0.0283,-0.0128
0.9853,0.0237,-0.0096
0.9838,0.0263,-0.0105
0.9879,0.0230,-0.0071
0.9808,0.0292,-0.0038
0.9792,0.0175,-0.0114
0.9796,0.0232,-0.0132
0.9801,0.0300,-0.0081
0.9861,0.0331,-0.0147
0.9733,0.0321,-0.0111
0.9818,0.0187,-0.0167
0.9844,0.0245,-0.0195
0.9787,0.0287,-0.0075
0.9827,0.0349,-0.0084
0.9883,0.0297,-0.0091
0.9773,0.0194,-0.0146
0.9829,0.0250,-0.0107
0.9819,0.0267,-0.0085
0.9820,0.0240,-0.0212
0.9851,0.0223,-0.0152
0.9850,0.0282,-0.0096
0.9853,0.0212,-0.0128
0.9801,0.0311,-0.0090
0.9811,0.0279,-0.0107
0.9816,0.0266,-0.0090
0.9815,0.0206,-0.0108
0.9811,0.0210,-0.0147
0.9811,0.0251,-0.0100
0.9813,0.0266,-0.0133
0.9839,0.0264,-0.0100
0.9870,0.0240,-0.0176
0.9817,0.0278,-0.0119
0.9831,0.0190,-0.0149
0.9839,0.0277,-0.0146
0.9833,0.0225,-0.0160
0.9822,0.0258,-0.0106
0.9846,0.0309,-0.0087
0.9807,0.0283,-0.0171
0.9824,0.0287,-0.0096
0.9849,0.0317,-0.0146
0.9848,0.0247,-0.0081
0.9824,0.0277,-0.0066
0.9842,0.0243,-0.0133
0.9796,0.0286,-0.0074
0.9811,0.0187,-0.0142
0.9835,0.0217,-0.0189
0.9804,0.0179,-0.0109
0.9806,0.0252,-0.0075
0.9788,0.0175,-0.0121
0.9836,0.0200,-0.0133
0.9808,0.0251,-0.0142
0.9913,0.0241,-0.0113
0.9803,0.0157,-0.0072
0.9710,0.0297,-0.0166
0.9772,0.0246,-0.0043
0.9831,0.0243,-0.0147
0.9843,0.0237,-0.0095
0.9751,0.0268,-0.0109
0.9772,0.0214,-0.0125
0.9803,0.0260,-0.0170
0.9789,0.0324,-0.0149
0.9805,0.0244,-0.0130
0.9862,0.0230,-0.0090
0.9790,0.0277,-0.0127
0.9814,0.0247,-0.0101
0.9778,0.0216,-0.0049
0.9838,0.0237,-0.0098
0.9818,0.0171,-0.0114
0.9816,0.0262,-0.0147
0.9812,0.0290,-0.0125
0.9805,0.0263,-0.0134
0.9857,0.0244,-0.0107
0.9795,0.0206,-0.0095
0.9829,0.0272,-0.0094
0.9769,0.0254,-0.0190
0.9838,0.0212,-0.0104
0.9845,0.0231,-0.0121
0.9863,0.0192,-0.0097
0.9824,0.0283,-0.0178
0.9820,0.0289,-0.0072
0.9793,0.0240,-0.0056
0.9770,0.0248,-0.0114
0.9826,0.0217,-0.0086
0.9851,0.0314,-0.0148
0.9803,0.0288,-0.0056
0.9820,0.0197,-0.0128
0.9854,0.0274,-0.0081
0.9887,0.0235,-0.0152
0.9778,0.0246,-0.0084
0.9880,0.0258,-0.0119
0.9815,0.0293,-0.0147
0.9816,0.0247,-0.0121
0.9883,0.0219,-0.0034
0.9797,0.0221,-0.0143
0.9843,0.0250,-0.0081
0.9791,0.0191,-0.0133
0.9830,0.0199,-0.0124
0.9839,0.0222,-0.0149
0.9782,0.0245,-0.0104
0.9916,0.0291,-0.0164
0.9766,0.0246,-0.0065
0.9843,0.0232,-0.0085
0.9868,0.0301,-0.0157
0.9835,0.0205,-0.0148
0.9775,0.0241,-0.0170
0.9847,0.0250,-0.0150
0.9837,0.0304,-0.0108
0.9800,0.0240,-0.0124
0.9795,0.0190,-0.0133
0.9863,0.0221,-0.0188
0.9817,0.0289,-0.0180
0.9827,0.0264,-0.0101
0.9839,0.0271,-0.0175
0.9842,0.0298,-0.0128
0.9833,0.0214,-0.0074
0.9798,0.0308,-0.0133
0.9844,0.0231,-0.0054
0.9751,0.0263,-0.0193
0.9778,0.0316,-0.0088
0.9750,0.0250,-0.0142
0.9840,0.0315,-0.0097
  Mean -> Ax=0.9820  Ay=0.0252  Az=-0.0116

Pos 4 - X HUONG XUONG
ax,ay,az
-1.0165,0.0268,-0.0158
-1.0155,0.0282,-0.0141
-1.0202,0.0301,-0.0113
-1.0220,0.0235,-0.0136
-1.0182,0.0247,-0.0129
-1.0121,0.0279,-0.0068
-1.0239,0.0254,-0.0079
-1.0155,0.0226,-0.0146
-1.0146,0.0243,-0.0097
-1.0175,0.0246,-0.0116
-1.0209,0.0310,-0.0101
-1.0131,0.0231,-0.0139
-1.0191,0.0220,-0.0096
-1.0155,0.0232,-0.0131
-1.0167,0.0224,-0.0134
-1.0125,0.0224,-0.0138
-1.0092,0.0176,-0.0161
-1.0117,0.0236,-0.0103
-1.0106,0.0225,-0.0141
-1.0166,0.0247,-0.0138
-1.0185,0.0204,-0.0104
-1.0151,0.0244,-0.0128
-1.0161,0.0231,-0.0131
-1.0182,0.0302,-0.0122
-1.0184,0.0244,-0.0133
-1.0214,0.0218,-0.0090
-1.0200,0.0253,-0.0137
-1.0226,0.0234,-0.0071
-1.0195,0.0226,-0.0135
-1.0192,0.0258,-0.0134
-1.0183,0.0233,-0.0107
-1.0169,0.0257,-0.0098
-1.0183,0.0292,-0.0104
-1.0128,0.0247,-0.0110
-1.0204,0.0251,-0.0091
-1.0193,0.0302,-0.0119
-1.0125,0.0213,-0.0130
-1.0197,0.0285,-0.0098
-1.0183,0.0234,-0.0121
-1.0155,0.0279,-0.0122
-1.0196,0.0254,-0.0115
-1.0171,0.0234,-0.0059
-1.0202,0.0303,-0.0071
-1.0147,0.0316,-0.0101
-1.0191,0.0232,-0.0143
-1.0151,0.0198,-0.0170
-1.0126,0.0285,-0.0105
-1.0148,0.0277,-0.0127
-1.0231,0.0295,-0.0104
-1.0228,0.0255,-0.0136
-1.0184,0.0239,-0.0101
-1.0187,0.0210,-0.0096
-1.0163,0.0200,-0.0106
-1.0149,0.0245,-0.0113
-1.0207,0.0189,-0.0102
-1.0183,0.0265,-0.0128
-1.0189,0.0256,-0.0122
-1.0150,0.0235,-0.0171
-1.0175,0.0204,-0.0209
-1.0218,0.0235,-0.0148
-1.0234,0.0242,-0.0077
-1.0151,0.0250,-0.0088
-1.0195,0.0219,-0.0096
-1.0218,0.0262,-0.0121
-1.0193,0.0234,-0.0080
-1.0236,0.0259,-0.0130
-1.0206,0.0251,-0.0109
-1.0182,0.0259,-0.0070
-1.0201,0.0265,-0.0181
-1.0164,0.0185,-0.0098
-1.0197,0.0256,-0.0171
-1.0179,0.0279,-0.0098
-1.0181,0.0250,-0.0080
-1.0154,0.0228,-0.0140
-1.0204,0.0249,-0.0161
-1.0256,0.0242,-0.0111
-1.0173,0.0288,-0.0165
-1.0198,0.0200,-0.0111
-1.0184,0.0233,-0.0119
-1.0205,0.0214,-0.0065
-1.0152,0.0244,-0.0174
-1.0188,0.0270,-0.0114
-1.0145,0.0293,-0.0123
-1.0196,0.0233,-0.0134
-1.0148,0.0235,-0.0179
-1.0164,0.0247,-0.0136
-1.0249,0.0291,-0.0096
-1.0220,0.0255,-0.0158
-1.0228,0.0177,-0.0093
-1.0149,0.0239,-0.0122
-1.0119,0.0224,-0.0161
-1.0176,0.0269,-0.0130
-1.0230,0.0223,-0.0096
-1.0155,0.0192,-0.0163
-1.0214,0.0249,-0.0043
-1.0190,0.0252,-0.0148
-1.0090,0.0229,-0.0138
-1.0175,0.0204,-0.0092
-1.0180,0.0221,-0.0141
-1.0246,0.0231,-0.0200
-1.0196,0.0233,-0.0141
-1.0200,0.0221,-0.0077
-1.0130,0.0244,-0.0080
-1.0191,0.0239,-0.0149
-1.0156,0.0272,-0.0165
-1.0174,0.0232,-0.0152
-1.0181,0.0183,-0.0135
-1.0114,0.0265,-0.0160
-1.0161,0.0253,-0.0131
-1.0201,0.0250,-0.0141
-1.0186,0.0276,-0.0091
-1.0225,0.0234,-0.0064
-1.0117,0.0263,-0.0064
-1.0138,0.0245,-0.0190
-1.0182,0.0205,-0.0115
-1.0119,0.0259,-0.0147
-1.0221,0.0181,-0.0187
-1.0123,0.0280,-0.0125
-1.0185,0.0248,-0.0120
-1.0131,0.0264,-0.0189
-1.0143,0.0182,-0.0134
-1.0229,0.0251,-0.0164
-1.0228,0.0213,-0.0092
-1.0187,0.0273,-0.0072
-1.0172,0.0270,-0.0154
-1.0183,0.0210,-0.0101
-1.0148,0.0284,-0.0121
-1.0149,0.0245,-0.0140
-1.0162,0.0275,-0.0043
-1.0154,0.0211,-0.0154
-1.0226,0.0253,-0.0158
-1.0132,0.0240,-0.0098
-1.0175,0.0262,-0.0156
-1.0181,0.0235,-0.0124
-1.0176,0.0274,-0.0136
-1.0151,0.0262,-0.0063
-1.0296,0.0228,-0.0076
-1.0268,0.0302,-0.0117
-1.0251,0.0275,-0.0157
-1.0212,0.0301,-0.0134
-1.0214,0.0320,-0.0087
-1.0192,0.0222,-0.0127
-1.0125,0.0216,-0.0165
-1.0135,0.0240,-0.0116
-1.0162,0.0236,-0.0205
-1.0187,0.0293,-0.0044
-1.0184,0.0249,-0.0072
-1.0159,0.0260,-0.0189
-1.0195,0.0258,-0.0173
-1.0193,0.0310,-0.0129
-1.0230,0.0184,-0.0120
-1.0200,0.0220,-0.0112
-1.0170,0.0256,-0.0108
-1.0223,0.0228,-0.0131
-1.0182,0.0285,-0.0145
-1.0207,0.0302,-0.0114
-1.0229,0.0239,-0.0163
-1.0220,0.0203,-0.0148
-1.0108,0.0285,-0.0072
-1.0142,0.0245,-0.0106
-1.0176,0.0213,-0.0161
-1.0148,0.0207,-0.0113
-1.0157,0.0276,-0.0107
-1.0222,0.0269,-0.0125
-1.0214,0.0180,-0.0104
-1.0234,0.0190,-0.0059
-1.0222,0.0235,-0.0117
-1.0178,0.0214,-0.0145
-1.0152,0.0240,-0.0121
-1.0256,0.0230,-0.0090
-1.0206,0.0217,-0.0107
-1.0159,0.0262,-0.0140
-1.0154,0.0307,-0.0079
-1.0235,0.0353,-0.0166
-1.0223,0.0261,-0.0123
-1.0167,0.0296,-0.0087
-1.0211,0.0253,-0.0085
-1.0143,0.0289,-0.0091
-1.0155,0.0232,-0.0166
-1.0165,0.0234,-0.0076
-1.0211,0.0237,-0.0135
-1.0146,0.0276,-0.0119
-1.0170,0.0307,-0.0182
-1.0154,0.0288,-0.0078
-1.0152,0.0223,-0.0139
-1.0157,0.0229,-0.0127
-1.0233,0.0208,-0.0108
-1.0195,0.0223,-0.0127
-1.0169,0.0241,-0.0114
-1.0177,0.0241,-0.0120
-1.0211,0.0232,-0.0184
-1.0221,0.0208,-0.0134
-1.0140,0.0250,-0.0115
-1.0213,0.0260,-0.0061
-1.0183,0.0221,-0.0161
-1.0171,0.0217,-0.0095
-1.0215,0.0192,-0.0103
-1.0225,0.0271,-0.0084
-1.0201,0.0257,-0.0071
-1.0196,0.0306,-0.0131
  Mean -> Ax=-1.0181  Ay=0.0246  Az=-0.0121

Pos 5 - Y HUONG LEN
ax,ay,az
-0.0213,1.0253,-0.0112
-0.0140,1.0281,-0.0107
-0.0157,1.0256,-0.0092
-0.0198,1.0212,-0.0113
-0.0086,1.0278,-0.0145
-0.0131,1.0185,-0.0129
-0.0166,1.0226,-0.0141
-0.0186,1.0231,-0.0147
-0.0218,1.0195,-0.0154
-0.0184,1.0285,-0.0143
-0.0222,1.0306,-0.0160
-0.0177,1.0217,-0.0145
-0.0166,1.0266,-0.0076
-0.0157,1.0255,-0.0098
-0.0216,1.0292,-0.0101
-0.0163,1.0271,-0.0172
-0.0220,1.0255,-0.0115
-0.0160,1.0254,-0.0126
-0.0136,1.0262,-0.0094
-0.0138,1.0294,-0.0109
-0.0155,1.0259,-0.0082
-0.0100,1.0213,-0.0146
-0.0125,1.0257,-0.0135
-0.0204,1.0283,-0.0100
-0.0110,1.0247,-0.0088
-0.0122,1.0200,-0.0157
-0.0171,1.0230,-0.0135
-0.0203,1.0245,-0.0152
-0.0225,1.0263,-0.0116
-0.0146,1.0268,-0.0105
