Pos 1 - Z HUONG LEN
ax,ay,az
-0.0140,0.0255,0.9909
-0.0101,0.0282,0.9936
-0.0233,0.0224,0.9854
-0.0274,0.0253,0.9929
-0.0199,0.0257,0.9850
-0.0197,0.0260,0.9838
-0.0139,0.0183,0.9891
-0.0197,0.0302,0.9907
-0.0253,0.0165,0.9845
-0.0198,0.0243,0.9881
-0.0156,0.0202,0.9817
-0.0171,0.0237,0.9876
-0.0202,0.0244,0.9932
-0.0237,0.0207,0.9902
-0.0125,0.0243,0.9836
-0.0250,0.0259,0.9836
-0.0104,0.0332,0.9888
-0.0163,0.0246,0.9920
-0.0180,0.0252,0.9928
-0.0158,0.0325,0.9823
-0.0199,0.0218,0.9909
-0.0197,0.0271,0.9839
-0.0183,0.0330,0.9937
-0.0246,0.0263,0.9909
-0.0197,0.0211,0.9903
-0.0176,0.0269,0.9874
-0.0098,0.0218,0.9863
-0.0162,0.0276,0.9832
-0.0135,0.0199,0.9880
-0.0191,0.0225,0.9920
-0.0262,0.0224,0.9848
-0.0149,0.0304,0.9907
-0.0131,0.0172,0.9886
  Mean -> Ax=-0.0180  Ay=0.0252  Az=0.9877

Pos 6 - Y HUONG XUONG
ax,ay,az
-0.0177,-0.9744,-0.0082
-0.0227,-0.9746,-0.0064
-0.0204,-0.9787,-0.0152
-0.0152,-0.9794,-0.0119
-0.0203,-0.9770,-0.0131
-0.0193,-0.9763,-0.0122
-0.0171,-0.9766,-0.0104
-0.0197,-0.9766,-0.0119
-0.0240,-0.9779,-0.0143
-0.0216,-0.9758,-0.0146
-0.0212,-0.9714,-0.0047
-0.0145,-0.9740,-0.0081
-0.0169,-0.9759,-0.0116
-0.0192,-0.9827,-0.0149
-0.0209,-0.9733,-0.0137
-0.0243,-0.9751,-0.0110
-0.0153,-0.9737,-0.0036
-0.0210,-0.9704,-0.0088
-0.0202,-0.9754,-0.0146
-0.0184,-0.9766,-0.0136
-0.0180,-0.9786,-0.0081
-0.0149,-0.9774,-0.0090
-0.0217,-0.9812,-0.0109
-0.0161,-0.9776,-0.0102
-0.0111,-0.9645,-0.0151
-0.0169,-0.9793,-0.0021
-0.0195,-0.9720,-0.0117
-0.0217,-0.9757,-0.0167
-0.0202,-0.9759,-0.0112
-0.0260,-0.9752,-0.0031
-0.0213,-0.9739,-0.0135
-0.0279,-0.9785,-0.0144
-0.0150,-0.9751,-0.0128
-0.0156,-0.9745,-0.0126
-0.0157,-0.9798,-0.0127
-0.0136,-0.9825,-0.0148
-0.0175,-0.9742,-0.0132
-0.0165,-0.9781,-0.0086
-0.0173,-0.9686,-0.0090
-0.0161,-0.9700,-0.0148
-0.0190,-0.9811,-0.0090
-0.0122,-0.9767,-0.0163
-0.0141,-0.9776,-0.0138
-0.0126,-0.9763,-0.0127
-0.0124,-0.9729,-0.0157
-0.0127,-0.9811,-0.0085
-0.0163,-0.9768,-0.0147
-0.0219,-0.9689,-0.0116
-0.0202,-0.9730,-0.0078
-0.0169,-0.9726,-0.0087
-0.0178,-0.9739,-0.0124
-0.0215,-0.9794,-0.0104
-0.0205,-0.9751,-0.0129
-0.0146,-0.9740,-0.0109
-0.0190,-0.9755,-0.0132
-0.0171,-0.9810,-0.0121
-0.0167,-0.9736,-0.0158
-0.0195,-0.9763,-0.0139
-0.0223,-0.9788,-0.0120
-0.0167,-0.9745,-0.0151
-0.0167,-0.9757,-0.0137
-0.0212,-0.9768,-0.0095
-0.0186,-0.9754,-0.0155
-0.0082,-0.9829,-0.0191
-0.0198,-0.9743,-0.0058
-0.0162,-0.9739,-0.0088
-0.0177,-0.9818,-0.0111
-0.0172,-0.9674,-0.0145
-0.0136,-0.9798,-0.0066
-0.0175,-0.9721,-0.0095
-0.0156,-0.9747,-0.0143
-0.0186,-0.9777,-0.0124
-0.0236,-0.9744,-0.0086
-0.0138,-0.9704,-0.0115
-0.0185,-0.9759,-0.0106
-0.0155,-0.9738,-0.0167
-0.0132,-0.9733,-0.0085
-0.0178,-0.9759,-0.0052
-0.0217,-0.9809,-0.0050
-0.0172,-0.9765,-0.0140
-0.0250,-0.9685,-0.0095
-0.0162,-0.9721,-0.0152
-0.0164,-0.9712,-0.0197
-0.0159,-0.9724,-0.0116
-0.0211,-0.9756,-0.0136
-0.0167,-0.9769,-0.0093
-0.0198,-0.9768,-0.0079
-0.0186,-0.9731,-0.0165
-0.0127,-0.9801,-0.0117
-0.0188,-0.9777,-0.0130
-0.0137,-0.9689,-0.0128
-0.0193,-0.9816,-0.0060
-0.0217,-0.9782,-0.0116
-0.0154,-0.9697,-0.0044
-0.0154,-0.9767,-0.0143
-0.0186,-0.9722,-0.0087
-0.0158,-0.9816,-0.0140
-0.0129,-0.9769,-0.0123
-0.0085,-0.9753,-0.0070
-0.0116,-0.9723,-0.0135
-0.0260,-0.9780,-0.0097
-0.0159,-0.9709,-0.0159
-0.0173,-0.9822,-0.0151
-0.0161,-0.9826,-0.0091
-0.0116,-0.9800,-0.0129
-0.0120,-0.9732,-0.0106
-0.0176,-0.9798,-0.0125
-0.0135,-0.9747,-0.0095
-0.0193,-0.9781,-0.0135
-0.0217,-0.9798,-0.0121
-0.0188,-0.9783,-0.0096
-0.0213,-0.9735,-0.0103
-0.0122,-0.9738,-0.0092
-0.0177,-0.9799,-0.0090
-0.0121,-0.9754,-0.0047
-0.0148,-0.9680,-0.0126
-0.0211,-0.9748,-0.0145
-0.0173,-0.9758,-0.0114
-0.0183,-0.9784,-0.0139
-0.0136,-0.9752,-0.0167
-0.0251,-0.9761,-0.0110
-0.0221,-0.9813,-0.0100
-0.0068,-0.9719,-0.0155
-0.0184,-0.9754,-0.0165
-0.0229,-0.9755,-0.0092
-0.0171,-0.9774,-0.0102
-0.0162,-0.9784,-0.0163
-0.0157,-0.9710,-0.0106
-0.0139,-0.9699,-0.0173
-0.0163,-0.9704,-0.0080
-0.0130,-0.9771,-0.0096
-0.0153,-0.9771,-0.0113
-0.0227,-0.9780,-0.0109
-0.0143,-0.9750,-0.0066
-0.0128,-0.9784,-0.0124
-0.0198,-0.9721,-0.0095
-0.0208,-0.9718,-0.0166
-0.0139,-0.9835,-0.0126
-0.0205,-0.9726,-0.0111
-0.0257,-0.9797,-0.0141
-0.0139,-0.9693,-0.0096
-0.0130,-0.9776,-0.0105
-0.0176,-0.9788,-0.0132
-0.0192,-0.9734,-0.0103
-0.0199,-0.9769,-0.0187
-0.0162,-0.9754,-0.0121
-0.0161,-0.9767,-0.0154
-0.0201,-0.9762,-0.0112
-0.0201,-0.9765,-0.0167
-0.0194,-0.9811,-0.0143
-0.0161,-0.9744,-0.0125
-0.0188,-0.9718,-0.0161
-0.0165,-0.9775,-0.0110
-0.0185,-0.9769,-0.0109
-0.0203,-0.9792,-0.0137
-0.0224,-0.9745,-0.0141
-0.0224,-0.9737,-0.0106
-0.0186,-0.9760,-0.0088
-0.0189,-0.9741,-0.0160
-0.0160,-0.9755,-0.0102
-0.0190,-0.9776,-0.0162
-0.0187,-0.9766,-0.0165
-0.0136,-0.9714,-0.0191
-0.0255,-0.9803,-0.0115
-0.0086,-0.9791,-0.0131
-0.0133,-0.9767,-0.0081
-0.0147,-0.9751,-0.0089
-0.0147,-0.9799,-0.0126
-0.0202,-0.9749,-0.0162
-0.0215,-0.9748,-0.0120
-0.0132,-0.9743,-0.0070
-0.0134,-0.9710,-0.0244
-0.0207,-0.9734,-0.0166
-0.0198,-0.9727,-0.0118
-0.0192,-0.9689,-0.0135
-0.0141,-0.9752,-0.0117
-0.0193,-0.9779,-0.0128
-0.0228,-0.9729,-0.0116
-0.0195,-0.9722,-0.0156
-0.0249,-0.9735,-0.0168
-0.0229,-0.9744,-0.0086
-0.0207,-0.9781,-0.0067
-0.0229,-0.9720,-0.0105
-0.0205,-0.9755,-0.0150
-0.0203,-0.9755,-0.0145
-0.0238,-0.9725,-0.0141
-0.0152,-0.9755,-0.0022
-0.0160,-0.9797,-0.0168
-0.0211,-0.9765,-0.0178
-0.0219,-0.9749,-0.0175
-0.0183,-0.9742,-0.0155
-0.0159,-0.9747,-0.0082
-0.0157,-0.9757,-0.0126
-0.0164,-0.9737,-0.0179
-0.0148,-0.9770,-0.0080
-0.0174,-0.9773,-0.0120
-0.0130,-0.9776,-0.0180
-0.0189,-0.9706,-0.0064
-0.0144,-0.9824,-0.0128
-0.0197,-0.9756,-0.0158
  Mean -> Ax=-0.0178  Ay=-0.9757  Az=-0.0120
